timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1544220287000,,1531.40,,,
1544291964000,,1947.59,,,
1544363331000,,804.86,,,
1544433268000,,241.67,,,
1544503865000,,,,,
1544576147000,,1002.34,,,
1544647316000,,,,,
1544718309000,,561.27,,,
1544789693000,,,,,
1544860802000,,729.47,,,
1544931651000,,353.69,,,
1545003100000,,184.45,,,
1545076575000,,701.32,,,
1545151038000,,3633.94,,,
1545224266000,,1112.58,,,
1545298309000,,457.57,,,
1545371765000,,399.23,,,
1545444975000,,1129.35,,,
1545518580000,,353.90,,,
1545592165000,,1488.87,,,
1545664945000,,5648.64,,,
1545737520000,,1123.11,,,
1545810031000,,,,,
1545883479000,,,,,
1545956158000,,208.85,,,
1546029906000,,828.38,,,
1546103201000,,382.22,,,
1546175667000,,,,,
1546247915000,,1421.53,,,
1546320878000,,778.09,,,
1546394518000,,1098.42,,,
1546466952000,,769.30,,,
1546544000000,,1235.41,,,
1546622719000,,,,,
1546699391000,,636.95,,,
1546776424000,,402.00,,,
1546854270000,,5757.66,,,
1546931422000,,3345.48,,,
1547008514000,,1285.54,,,
1547086233000,,1687.54,,,
1547163262000,,1262.54,,,
1547240860000,,649.69,,,
1547318473000,,1750.21,,,
1547396030000,,1241.22,,,
1547472692000,,6426.90,,,
1547549533000,,5454.89,,,
1547626847000,,1876.66,,,
1547704633000,,8473.36,,,
1547781728000,,224.38,,,
1547859045000,,120.85,,,
1547934719000,,,,,
1548012002000,,,,,
1548095978000,,1260.09,,,
1548180548000,,113.50,,,
1548266597000,,2001.76,,,
1548351788000,,946.44,,,
1548436981000,,,,,
1548521909000,,216.82,,,
1548607305000,,376.31,,,
1548695090000,,,247.50,,
1548784331000,,,3937.96,,
1548872168000,,,,28.34,
1548959406000,,,,,
1549048111000,,,,401.66,
1549136870000,,,,,
1549225465000,,,,,
1549312025000,,,,1469.52,
1549400397000,,,,335.51,
1549488758000,,,,5829.79,
1549576572000,,,,785.22,
1549664587000,,,,3823.46,
1549752194000,,,,,
1549853106000,,,,,
1549954624000,,,,,
1550057114000,,,,2185.08,
1550160727000,,,,842.92,
1550264379000,,,,441.93,
1550367666000,,,,4212.64,
1550471025000,,,,,
1550573262000,,,,2547.26,
1550675116000,,,,,
1550776436000,,,,1973.83,
1550878296000,,,,1362.50,
1550978228000,,,,172.63,
1551078586000,,,,1970.17,
1551181750000,,,,1313.43,
1551281880000,,,,14673.08,
1551383524000,,,,5915.53,
1551459490000,,,,2595.76,
1551527005000,,,,1602.63,
1551595407000,,,,4538.73,
1551662535000,,,,2833.78,
1551730739000,,,,256.37,
1551798808000,,,,1271.10,
1551865512000,,,,8420.91,
1551932302000,,,,1883.72,
1551999434000,,,,4471.35,
1552066766000,,,,3572.01,
1552134613000,,,,1733.22,
1552201544000,,,,857.42,
1552268725000,,,,,
1552336045000,,,,610.47,
1552403003000,,,,6915.96,
1552470545000,,,,452.11,
1552537130000,,,,18.49,
1552605435000,,,,376.17,
1552671597000,,,,1203.78,
1552738081000,,,,,
1552805598000,,,,,
1552872817000,,,,73.11,
1552940619000,,,,7782.60,
1553008742000,,,,215.32,
1553075047000,,,,,
1553142018000,,,,42.09,
1553209653000,,,,,
1553277395000,,,,579.71,
1553344849000,,,,,
1553411888000,,,,113.05,
1553478679000,,,,,
1553546051000,,,,11.43,
1553614241000,,,,17.43,
1553681868000,,,,366.79,
1553749152000,,,,334.18,
1553816450000,,,,2731.44,
1553884334000,,,,277.32,
1553953102000,,,,433.74,
1554019932000,,,,1602.02,
1554086578000,,,,27.34,
1554153946000,,,,,
1554222678000,,,,225.43,
1554290288000,,,,786.25,
1554358137000,,,,5459.13,
1554425436000,,,,662.11,
1554493384000,,,,210.15,
1554559454000,,,,247.45,
1554626505000,,,,200.42,
1554693632000,,,,589.39,
1554760411000,,,,943.50,
1554827345000,,,,819.56,
1554894627000,,,,15.04,
1554961787000,,,,123.74,
1555029655000,,,,80.00,
1555096914000,,,,59.13,
1555163830000,,,,319.30,
1555230712000,,,,1245.46,
1555297496000,,,,,
1555364629000,,,,12.31,
1555431616000,,,,,
1555500111000,,,,19.30,
1555566912000,,,,,
1555634415000,,,,,
1555701653000,,,,,
1555769476000,,,,521.28,
1555837014000,,,,517.87,
1555904097000,,,,8.16,
1555970540000,,,,136.27,
1556038531000,,,,34.90,
1556107407000,,,,,
1556173928000,,,,,
1556241200000,,,,,
1556308450000,,,,1142.30,
1556374991000,,,,13.04,
1556442410000,,,,31.25,
1556509346000,,,,4.30,
1556576806000,,,,40.82,
1556643967000,,,,,
1556711534000,,,,,
1556778136000,,,,,
1556845234000,,,,63.06,
1556913235000,,,,18.45,
1556979262000,,,,300.80,
1557047080000,,,,31.59,
1557114439000,,,,,
1557182260000,,,,58.86,
1557249608000,,,,297.38,
1557318081000,,,,32.33,
1557385675000,,,,14.77,
1557453624000,,,,,
1557521031000,,,,15.09,
1557588222000,,,,30.30,
1557655069000,,,,100.95,
1557722567000,,,,,
1557790675000,,,,14.02,
1557857642000,,,,49.30,
1557924398000,,,,14.97,
1557992058000,,,,29.19,
1558059268000,,,,155.35,
1558126732000,,,,,
1558194179000,,,,26.62,
1558262228000,,,,,
1558329711000,,,,310.47,
1558397321000,,,,10.51,
1558466162000,,,,,
1558533192000,,,,,
1558601405000,,,,1361.69,
1558669169000,,,,,
1558736680000,,,,10.79,
1558803191000,,,,142.91,
1558871016000,,,,1790.53,
1558937464000,,,,10.33,
1559004601000,,,,,
1559072957000,,,,314.65,
1559139434000,,,,,
1559206701000,,,,,
1559274975000,,,,,
1559341699000,,,,,
1559409902000,,,,,
1559477256000,,,,41.08,
1559545066000,,,,,
1559613008000,,,,650.15,
1559680478000,,,,,
1559748180000,,,,16.50,
1559815480000,,,,,
1559882780000,,,,49.67,
1559950737000,,,,,
1560018665000,,,,,
1560086804000,,,,211.00,
1560153643000,,,,42.78,
1560221421000,,,,161.51,
1560289199000,,,,38.26,
1560356878000,,,,64.63,
1560423930000,,,,154.28,
1560491307000,,,,,
1560558991000,,,,,
1560626789000,,,,27.20,
1560694377000,,,,12.03,
1560761916000,,,,33.27,
1560829590000,,,,57.35,
1560897457000,,,,131.20,
1560964413000,,,,431.71,
1561032579000,,,,,
1561100149000,,,,35.30,
1561168282000,,,,132.66,
1561234762000,,,,599.73,
1561302398000,,,,9.14,
1561369418000,,,,,
1561436953000,,,,21.97,
1561504004000,,,,1534.35,
1561570799000,,,,335.47,
1561638755000,,,,,
1561706755000,,,,1123.32,
1561774045000,,,,,
1561840989000,,,,49.76,
1561907952000,,,,,
1561975491000,,,,807.15,
1562042620000,,,,3.27,
1562110262000,,,,,
1562178137000,,,,,
1562245083000,,,,,
1562312263000,,,,,
1562380043000,,,,309.73,
1562446275000,,,,,
1562513829000,,,,,
1562580710000,,,,24.52,
1562647935000,,,,,
1562714668000,,,,2.48,
1562782053000,,,,,
1562848961000,,,,,
1562916876000,,,,,
1562984792000,,,,12.12,
1563051887000,,,,12.77,
1563118325000,,,,,
1563185341000,,,,15.99,
1563253666000,,,,16.02,
1563322130000,,,,,
1563390506000,,,,,
1563456683000,,,,,
1563524083000,,,,72.26,
1563591824000,,,,,
1563657984000,,,,17.58,
1563725454000,,,,,
1563792449000,,,,16.01,
1563858874000,,,,,
1563925785000,,,,17.33,
1563992752000,,,,,
1564060720000,18.65,,,,
1564128623000,,,,,
1564194770000,,,,,
1564261351000,2.58,,,,
1564329190000,16.10,,,,
1564395991000,,,,,
1564463477000,2.02,,,,
1564530020000,6.43,,,,
1564597821000,0.20,,,,
1564665039000,,,,,
1564732022000,,,,,
1564799107000,,,,,
1564865751000,,,,,
1564932781000,,,,,
1564999286000,,,,,
1565066439000,,,,,
1565133760000,,,,,
1565200774000,,,,,
1565267861000,,,,,
1565334762000,,,,,
1565401917000,,,,,
1565468754000,,,,,
1565536629000,,,,,
1565603145000,,,,,
1565669720000,926.52,,,,
1565737101000,,,,,
1565803734000,,,,,
1565871010000,,,,,
1565938594000,,,,,
1566005643000,,,,,
1566071734000,,,,,
1566139968000,,,,,
1566206924000,,,,,
1566273958000,,,,,
1566340899000,,,,,
1566408719000,61.35,,,,
1566474986000,,,,,
1566542876000,,,,,
1566609532000,,,,,
1566677699000,47.03,,,,
1566744845000,,,,,
1566811311000,,,,,
1566879172000,,,,,
1566946162000,,,,,
1567013670000,,,,,
1567080503000,23.61,,,,
1567147214000,23.67,,,,
1567214663000,,,,,
1567281961000,,,,,
1567349460000,23.73,,,,
1567416716000,25.29,,,,
1567484031000,23.86,,,,
1567551463000,,,,,
1567619231000,,,,,
1567685589000,,,,,
1567753902000,293.22,,,,
1567820847000,,,,,
1567887785000,,,,,
1567955110000,,,,,
1568023141000,,,,,
1568089878000,244.07,,,,
1568157833000,,,,,
1568225074000,,,,,
1568292523000,,,,,
1568360055000,,,,,
1568427970000,,,,,
1568495114000,,,,,
1568562808000,24.93,,,,
1568630407000,,,,,
1568696458000,,,,,
1568764187000,,,,,
1568830698000,,,,,
1568898597000,19.87,,,,
1568967137000,,,,,
1569034094000,17.08,,,,
1569100750000,,,,,
1569168482000,,,,,
1569236030000,21.39,,,,
1569303544000,,,,,
1569371996000,3.33,,,,
1569439704000,,,,,
1569507924000,,,,,
1569575662000,,,,,51.54
1569642495000,,,,,
1569709939000,,,,,
1569777994000,,,,,
1569845721000,,,,,23.00
1569912741000,,,,,8.60
1569979950000,,,,,
1570047984000,,,,,
