timestamp,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1559072957000,,,,84.17,
1559139434000,,,,425.77,
1559206701000,,,,534.17,
1559274975000,,,,1759.75,
1559341699000,,,,868.89,
1559409902000,,,,868.65,
1559477256000,,,,3303.91,
1559545066000,,,,713.72,
1559613008000,,,,1389.87,
1559680478000,,,,335.72,
1559748180000,,,,,
1559815480000,,,,550.99,
1559882780000,,,,1696.82,
1559950737000,,,,4146.30,
1560018665000,,,,1371.87,
1560086804000,,,,704.55,
1560153643000,,,,351.56,
1560221421000,,,,1047.22,
1560289199000,,,,2997.42,
1560356878000,,,,1320.25,
1560423930000,,,,,
1560491307000,,,,98.11,
1560558991000,,,,1595.76,
1560626789000,,,,10250.85,
1560694377000,,,,,
1560761916000,,,,1465.84,
1560829590000,,,,11119.80,
1560897457000,,,,324.06,
1560964413000,,,,939.38,
1561032579000,,,,360.35,
1561100149000,,,,1223.41,
1561168282000,,,,1673.36,
1561234762000,,,,2660.43,
1561302398000,,,,1183.84,
1561369418000,,,,,
1561436953000,,,,5535.79,
1561504004000,,,,535.89,
1561570799000,,,,3785.41,
1561638755000,,,,3194.30,
1561706755000,,,,4888.42,
1561774045000,,,,1019.43,
1561840989000,,,,402.83,
1561907952000,,,,560.05,
1561975491000,,,,1761.43,
1562042620000,,,,474.13,
1562110262000,,,,601.21,
1562178137000,,,,2049.87,
1562245083000,,,,0.01,
1562312263000,,,,,
1562380043000,,,,,
1562446275000,,,,,
1562513829000,,,,26.27,
1562580710000,,,,722.30,
1562647935000,,,,875.95,
1562714668000,,,,2279.19,
1562782053000,,,,9844.99,
1562848961000,,,,,
1562916876000,,,,5.18,
1562984792000,,,,431.15,
1563051887000,,,,14.00,
1563118325000,,,,430.75,
1563185341000,,,,,
1563253666000,,,,426.31,
1563322130000,,,,748.62,
1563390506000,,,,268.54,
1563456683000,,,,,
1563524083000,,,,0.25,
1563591824000,,,,700.44,
1563657984000,,,,189.84,
1563725454000,,,,1122.05,
1563792449000,,,,6801.36,
1563858874000,,,,893.13,
1563925785000,,,,,
1563992752000,,,446.27,,
1564060720000,,,1436.42,,
1564128623000,,,1250.37,,
1564194770000,,,1427.41,,
1564261351000,,,443.03,,
1564329190000,,,4097.23,,
1564395991000,,,,,
1564463477000,,,898.56,,
1564530020000,,,,,
1564597821000,,,3511.57,,
1564665039000,,,367.31,,
1564732022000,,,242.95,,
1564799107000,,,1337.85,,
1564865751000,,,56.83,,
1564932781000,,,406.58,,
1564999286000,,,73.88,,
1565066439000,,,478.02,,
1565133760000,,,761.94,,
1565200774000,,,236.54,,
1565267861000,,,294.35,,
1565334762000,,,116.11,,
1565401917000,,,2366.23,,
1565468754000,,,4030.64,,
1565536629000,,,1425.27,,
1565603145000,,,1238.12,,
1565669720000,,,3809.09,,
1565737101000,,,,,
1565803734000,,,480.78,,
1565871010000,,,482.15,,
1565938594000,,,,,
1566005643000,,,,,
1566071734000,,,,,
1566139968000,,,5688.40,,
1566206924000,,,486.17,,
1566273958000,,,741.58,,
1566340899000,,,,,
1566408719000,,,1169.34,,
1566474986000,,,,,
1566542876000,,,2.76,,
1566609532000,,,678.95,,
1566677699000,,,247.96,,
1566744845000,,,,,
1566811311000,,,,,
1566879172000,,,3577.60,,
1566946162000,,,1643.85,,
1567013670000,,,3233.84,,
1567080503000,,,,,
1567147214000,,,3036.69,,
1567214663000,,,,,
1567281961000,,,,,
1567349460000,,,381.38,,
1567416716000,,,,,
1567484031000,,,10.17,,
1567551463000,,,,,
1567619231000,,,,,
1567685589000,,,433.47,,
1567753902000,,,1837.91,,
1567820847000,,,832.54,,
1567887785000,,,401.71,,
1567955110000,,,,,
1568023141000,,,1052.28,,
1568089878000,,,644.79,,
1568157833000,,,3080.38,,
1568225074000,,,,,
1568292523000,,,340.82,,
1568360055000,,,638.82,,
1568427970000,,,1881.60,,
1568495114000,,,524.31,,
1568562808000,,,1474.40,,
1568630407000,,,970.63,,
1568696458000,,,557.99,,
1568764187000,,,,,
1568830698000,,,517.73,,
1568898597000,,,,,
1568967137000,,,545.07,,
1569034094000,,,,,
1569100750000,,,,,
1569168482000,,,,,
1569236030000,,,966.55,,
1569303544000,,,514.18,,
1569371996000,,,316.91,,
1569439704000,,,3613.31,,
1569507924000,,,792.87,,
1569575662000,,,,,
1569642495000,511.14,,,,
1569709939000,,,,,
1569777994000,1166.87,,,,
1569845721000,423.29,,,,
1569912741000,555.65,,,,
1569979950000,,,,,
1570047984000,1378.77,,,,
1570116154000,1075.95,,,,
