timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1569439704000,23066.51,,,,
1569507924000,7620.35,,215.56,,
1569575662000,,,22989.02,,
1569642495000,,,10834.05,,
1569709939000,,,5742.40,,
1569777994000,,,9871.45,,
1569845721000,,,8195.00,,
1569912741000,,,30358.58,,
1569979950000,,,10661.56,,
1570047984000,,,29275.69,,
