timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,Other
1560626789000,,1432.07,,
1560694377000,,,,
1560761916000,,614.12,,
1560829590000,,21272.10,,
1560897457000,,5525.34,,
1560964413000,,463.64,,
1561032579000,,550.79,,
1561100149000,,3158.50,,
1561168282000,,7823.99,,
1561234762000,,19846.82,,
1561302398000,,2118.70,,
1561369418000,,1659.62,,
1561436953000,,265.77,,
1561504004000,,17045.25,,
1561570799000,,2947.21,,
1561638755000,,5513.15,,
1561706755000,,1107.68,,
1561774045000,,3530.57,,
1561840989000,,2905.74,,
1561907952000,,1432.16,,
1561975491000,,1167.53,,
1562042620000,,894.25,,
1562110262000,,5845.01,,
1562178137000,,1966.35,,
1562245083000,,5678.53,,
1562312263000,,384.47,,
1562380043000,,305.40,,
1562446275000,,1033.99,,
1562513829000,,4375.78,,
1562580710000,,145.79,,
1562647935000,,1863.92,,
1562714668000,,3277.35,,
1562782053000,,779.36,,
1562848961000,,788.85,,
1562916876000,,10863.83,,
1562984792000,,1229.80,,
1563051887000,,,,
1563118325000,,585.78,,
1563185341000,,861.93,,
1563253666000,,3216.42,,
1563322130000,,6110.59,,
1563390506000,,330.56,,
1563456683000,,1653.18,,
1563524083000,,1728.80,,
1563591824000,,2664.27,,
1563657984000,,4212.17,,
1563725454000,,569.46,,
1563792449000,,,,
1563858874000,,2309.37,,
1563925785000,638.77,949.31,,
1563992752000,,,,
1564060720000,1246.01,,,
1564128623000,222.81,,,
1564194770000,867.71,,,
1564261351000,1318.76,,,
1564329190000,963.01,,,
1564395991000,490.90,,,
1564463477000,36522.13,,,
1564530020000,390.50,,,
1564597821000,,,,
1564665039000,335.80,,,
1564732022000,545.09,,,
1564799107000,1207.85,,,
1564865751000,654.81,,,
1564932781000,383.35,,,
1564999286000,2435.20,,,
1565066439000,2105.60,,,
1565133760000,2262.91,,,
1565200774000,5822.13,,,
1565267861000,1996.37,,,
1565334762000,5147.22,,,
1565401917000,1052.42,,,
1565468754000,2608.01,,,
1565536629000,1109.40,,,
1565603145000,495.63,,,
1565669720000,473.47,,,
1565737101000,11041.71,,,
1565803734000,5845.65,,,
1565871010000,2386.83,,,
1565938594000,560.96,,,
1566005643000,8122.99,,,
1566071734000,999.75,,,
1566139968000,734.11,,,
1566206924000,786.88,,,
1566273958000,11113.20,,,
1566340899000,596.16,,,
1566408719000,2913.15,,,
1566474986000,251.89,,,
1566542876000,711.41,,,
1566609532000,1958.26,,,
1566677699000,,,,
1566744845000,882.29,,,
1566811311000,2161.78,,,
1566879172000,1763.61,,,
1566946162000,600.04,,,
1567013670000,1187.85,,,
1567080503000,732.70,,,
1567147214000,3061.13,,,
1567214663000,3394.87,,,
1567281961000,196.87,,,
1567349460000,825.87,,,
1567416716000,,,,
1567484031000,3636.05,,,
1567551463000,3951.45,,,
1567619231000,1742.96,,,
1567685589000,,,,
1567753902000,376.97,,,
1567820847000,,,,
1567887785000,196.90,,,
1567955110000,,,,
1568023141000,1245.45,,,
1568089878000,,,,
1568157833000,3231.37,,,
1568225074000,,,,
1568292523000,874.68,,,
1568360055000,,,,
1568427970000,,,,
1568495114000,502.74,,,
1568562808000,,,,
1568630407000,3.49,,,
1568696458000,495.57,,,
1568764187000,1060.77,,,
1568830698000,,,,
1568898597000,463.03,,,
1568967137000,526.25,,,
1569034094000,,,,
