timestamp,ETHBNT,NPXSBNT,BATBNT,DAIBNT,ENJBNT,LOCBNT,KNCBNT,RCNBNT,BNBBNT,EURSBNT,MKRBNT,ANTBNT,POWRBNT,TKNBNT,GNOBNT,POABNT,OMGBNT,ELFBNT,VIBBNT,DGDBNT,REMBNT,NMRBNT,USDB / BNT,GTOBNT,XDCEBNT,RLCBNT,REQBNT,MFTBNT,AGRIBNT,MDTBNT,MTLBNT,RDNBNT,WBTC,SANBNT,MADBNT,SNTBNT,pBTCBNT,TIXBNT,J8TBNT,PLRBNT,FXCBNT,ELETBNT,DATABNT,REALBNT,MRPHBNT,DRGNBNT,MFGBNT,FLIXXBNT,UPBNT,MYBBNT,SRNBNT,BNT-USD,RVTBNT,HEDGBNT,MNTPBNT,CEEKBNT,ABXBNT,FTXBNT,UPTBNT,XBPBNT,USDQBNT,AMPLBNT,DTRCBNT,MRGBNT,Other
1530203197000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1968.64,172.77,0.00,0.00,0.00,1004.47,0.00,0.00,0.00,0.00,0.00,6069.39,0.00,0.00,0.00,0.00,0.00,1684.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1481.79,0.00,0.00,0.00,0.00,196.63,0.00,0.00,0.00,0.00,625.78,0.00,0.00,0.00,0.00,391.25,0.00,219.53,0.00,0.00,881.57,0.00,10722.82
1530278431000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1966.21,0.00,0.00,0.00,0.00,1340.07,0.00,0.00,0.00,0.00,0.00,4157.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3484.66,0.00,0.00,0.00,0.00,978.21,0.00,0.00,0.00,0.00,390.80,0.00,0.00,0.00,0.00,320.55,0.00,1006.06,0.00,0.00,1245.02,205.58,14221.26
1530351013000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5814.45,1915.86,0.00,0.00,0.00,1978.66,0.00,0.00,0.00,0.00,0.00,5018.00,0.00,0.00,0.00,0.00,0.00,2233.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14768.11,0.00,0.00,0.00,0.00,173.02,0.00,0.00,0.00,0.00,851.53,0.00,0.00,0.00,0.00,433.61,0.00,2854.03,0.00,0.00,4233.64,109.81,6710.40
1530426268000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1806.20,0.74,0.00,0.00,0.00,188.03,0.00,0.00,0.00,0.00,0.00,4595.03,0.00,0.00,0.00,0.00,0.00,570.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7140.40,0.00,0.00,0.00,0.00,3799.12,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,538.66,0.00,1187.74,0.00,0.00,1635.79,0.00,9437.90
1530499615000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,343.68,4317.04,0.00,0.00,0.00,209.79,0.00,0.00,0.00,0.00,0.00,3425.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,760.80,0.00,0.00,0.00,0.00,410.99,0.00,0.00,0.00,0.00,162.21,0.00,108.00,0.00,0.00,1979.25,0.00,2845.66
1530572217000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,654.32,310.55,0.00,0.00,0.00,1125.59,0.00,0.00,0.00,0.00,0.00,1657.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.51,0.00,0.00,0.00,0.00,912.25,0.00,0.00,0.00,0.00,2674.57,0.00,0.00,0.00,0.00,0.00,0.00,1133.12,0.00,0.00,704.23,0.00,10583.30
1530646642000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4119.71,334.86,0.00,0.00,0.00,757.52,0.00,0.00,0.00,0.00,0.00,1658.99,0.00,0.00,0.00,0.00,0.00,857.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,879.76,0.00,0.00,0.00,0.00,304.20,0.00,0.00,0.00,0.00,1254.96,0.00,0.00,0.00,0.00,0.00,0.00,959.95,0.00,0.00,166.85,916.81,4167.13
1530720604000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1148.48,15.09,0.00,0.00,0.00,14487.58,0.00,0.00,0.00,0.00,0.00,1380.26,0.00,0.00,0.00,0.00,0.00,15.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15488.81,0.00,0.00,0.00,0.00,1058.64,0.00,0.00,0.00,0.00,684.38,0.00,0.00,0.00,0.00,363.85,0.00,400.46,0.00,0.00,134.91,5427.64,18122.07
1530794550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11661.33,0.00,0.00,0.00,0.00,10098.22,0.00,0.00,0.00,0.00,0.00,5930.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2136.85,0.00,0.00,0.00,0.00,1284.35,0.00,0.00,0.00,0.00,1087.62,0.00,0.00,0.00,0.00,159.79,0.00,3131.22,0.00,0.00,2222.11,2865.24,5957.16
1530868977000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5831.45,0.00,0.00,0.00,0.00,6486.76,0.00,0.00,0.00,0.00,0.00,1644.55,0.00,0.00,0.00,0.00,0.00,1013.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,429.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.92,0.00,0.00,0.00,0.00,93.68,0.00,101.89,0.00,0.00,3461.14,0.00,11748.70
