timestamp,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x505C02B4aa1286375FBDF0c390AC0fe9209DCB05,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x864069F94334022eb11C6dc0F930fac176BF002f,​0x0c3F70c14B8bb96D6B74af35c6AB7f85f77a23bA,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0xF996D7d9BaCb9217ca64BBce1b1cD72E0E886Be6,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x539173C8554B8F44E973C293B4738AAeB06Af578,​0x97deC872013f6B5fB443861090ad931542878126,Other
1582571821000,,,,0.23,,,,,,,,,,0.09,,,,0.26,,,
1582705647000,,,,0.72,,,,,,,,,,,,,,,,,
1582771019000,,,,1.25,,,,,,,,,,0.43,,,,,,0.10,
1582837876000,,,,0.16,,,,,,,,,,0.86,,,,,,0.10,
1582904573000,0.12,,,0.30,,,,0.06,,,,,,0.26,,,,,,0.26,
1582970808000,,,,,,,,,,,,,,0.37,,,,,,0.08,
1583036689000,0.26,,,,,,,,,,,,,0.11,,,,,,0.09,
1583103301000,,,,0.28,,,,,,,,,,,,,,,,,
1583168974000,,,,,,,,,,,,,,0.52,,,,,,,
1583235956000,,,,,,,,,,,,,,0.14,,,,0.09,,,
1583302077000,,,,,,,,0.20,,,,,,0.18,,,,0.11,,,
1583368317000,,,,,,,,,,,,,,0.09,,,,,,0.20,
1583435384000,,,,,,,,,,,,,,0.23,,,,,,,
1583502285000,,,,,,,,,,,,,,0.35,,,,,,0.08,
1583567810000,,,,,,,,,,,,,,0.19,,,,,,,
1583633541000,,,,0.21,,,,,,,,,,0.22,,,,,,0.36,
1583699841000,,,,0.44,,,,,,,,,,0.33,,,,,,0.65,
1583767163000,,,,0.28,,,,,,0.42,0.13,,,0.49,,,0.12,0.12,,0.59,
1583833348000,,,,0.20,,,,,,,,,,0.38,,,,,,0.12,
1583900197000,,,,,,,,,,,,,,0.32,,,,,,0.18,0.04
1583966404000,,,,0.54,,,,,,,,,,0.30,,,,,,0.34,
1584033400000,0.20,,,2.83,,,,,,,,,,0.17,,,,,,0.08,
1584100621000,0.44,,,0.82,,,,,,,,,,0.32,,,,,,0.41,
1584168330000,,,,0.79,,,,,,,,,,2.11,,,,,,0.93,
1584234522000,,,,0.49,,,,,,,,,,0.23,,,,,,0.15,
1584367227000,,,,0.27,,,,,,,,,,0.16,,,,,,,
1584699859000,,,,,,,,,,,,,,2.67,,,,,,0.86,
1584766483000,0.14,,,0.24,,,,,,,,,,1.61,,,,,,2.39,
1584833664000,,,,0.49,,,,,,,,,,1.05,,,,,,0.61,
1584902413000,,,,0.11,,,,,,,,,,0.18,,,,,,0.71,
1584970249000,,,,,,,,,,,,,,0.46,,,,,,,0.01
1585036977000,,,,,,,,,,,,,,0.67,,,,,,0.25,
1585105600000,,,,,,,,,,,,,,0.61,,,,,,0.49,
1585173391000,,,,0.12,,,,,,,,,,0.34,,,,,,0.40,
1585239172000,,,,,,,,,,,,,,0.13,,,,,,0.13,
1585306138000,,,,,,,,,,,,,,0.38,,,,,,0.20,
1585372283000,0.14,,,0.61,,,,,,,,,,,,,,,,0.13,
1585438491000,,,,0.10,,,,,,,,,,0.43,,,,,,,
1585504149000,,,,0.12,,,,,,,,,,,,,,,,0.10,
1585571105000,,,,0.23,,,,,,,,,,0.58,,,,,,,
1585637238000,,,,0.11,,,,,,,,,,0.11,,,,,,0.11,
1585704243000,,,,,,,,,,,,,,0.21,,,,,,0.12,
1585770840000,,,,,,,,,,,,,,,,,,,,0.27,
1585836257000,,,,0.17,,,,,,,,0.93,,1.51,,,,,0.31,,
1585903293000,,,,,,,,,,,,,,1.02,,,,,,0.58,
1585969610000,,,,,,,,,,,,,,0.36,,,,,,0.43,
1586036191000,,,,,,,,,,,,,,0.29,,,,,,0.12,
1586102872000,,,,,,,,,,,,,,,,,,,,0.11,
1586169028000,,,,,,,,,,,,,,0.80,,,,,,,
1586236183000,,,,,,,,,,,,,,1.31,,,,,,0.13,
1586301955000,,,,,,,,,,,,,,0.35,,,,,,0.67,
1586368858000,,,,0.67,,,,,,,,0.71,,0.44,,0.64,,,,0.36,
1586434964000,,,,,,,,,,,,,,0.20,,,,,,0.22,
1586501245000,,,,0.03,,,,,,,,,,1.17,,,,,,1.36,
1586568529000,,,,0.59,,,,,,,,,,0.28,,,,,,0.08,
1586635021000,,,,0.08,,,,,,,,,,0.09,,,,,,0.10,
1586701369000,,,,,,,,,,,,,,0.31,,,,,,0.20,
1586767741000,,,,0.09,,,,,,,,,,0.33,,,,,,0.64,
1586833705000,,,,,,,,,,,,,,0.39,,,,,,0.13,
