timestamp,​0x4Fe95C36bB9B3A81F278569525162f91615E77d7,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x6C0844F2737bB5986E3c95e89CcC2928bAc4702A,​0xE996dcd8B993826B471321A29b9c25195D75496c,​0x7d4Ba61DF007Ff68A89281E918CC502Ae1a18403,​0xd4D221aD5b753a6fcBB58a6C7b6b92605CA5325F,​0xFAB3DFa4188794cd81A5Fdc118B6B5CA874b24ab,​0x9fA3cC07d724501cF6CeEBE28D9639939f1804a9,​0xe3ED26C5eEdD8b6A8DC779E0bD1C8DbE53655291,​0xd3092810BfC5CC9393068840450c1dBCd42038ae,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xf1BEaCd26FD9873Fc79E814810eda5F555A5b93A,​0xE5E4188f3aCA617aE0c40634bDf168da328a838F,​0xdf388A9338AA924587BF91437760F02ecF425cbF,​0x536956Fab86774fb55CfaAcF496BC25E4d2B435C,​0xe932B28a59Ac2847e9c681210a5A9448556B2A22,​0xAF4774798b5a9c6f831CAE5e56d8B12d25Ae3972,​0xF4DDf881f1F2a98A33791cCae1D0A9dE9D583490,​0xF3592d3B21027c5AeA86f2398C4B049478D4C3dF,​0xD6925C970d8f63C1CC490d81aC6A8c4dE5BDbAA0,​0xaDC514b090c4d4c1355051Bc9Bf414573d5A60a1,​0x0ebAe7539d5B60e9c9c2863818B0261eE8a9CE1D,​0x21c24F502e59e5FC84906039a78adD341FD4C70C,​0xe9Cf7887b93150D4F2Da7dFc6D502B216438F244,​0xfC7F623Bc12DBEb984A9D618e9B07693fF35283f,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x2F5B009d42917452f4F057B0998DfaD4d84C7662,​0x4676a9576315287659d0f9902D288bdfe49604ab,​0x80324Ec8d64425B37f8603A97097dA7D493dbc79,​0x3b0535C602078a22A9954209B3556549C4E5E987,​0x6080C872300062A5B1a9eea1C5081238D1ac6D7F,​0x0a98019447660c875cce6d82D90d69933C6455B9,​0x71685158f300b30Ecf564870ea3F8c35abA5bc77,​0x2DCDf77e4F12BFb9E153833D0F69c55061282Ae5,​0xdE7670354fE2110fbF3A2ca269096647fc955924,​0x49318b3970C8a82275B440900bE45f27bf682108,​0xc385FAb6554b51c8E87020ABBe8D7bA4507dD1F5,​0xFBa1271d4F8c8676557d8afE1C68694Ba668cD48,Other
1568400865000,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,0.03,,,,,,,0.72,,0.10,,,
1568467502000,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,0.02,,,,,,,,,0.12,,,
1568535532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1568669970000,,,,0.05,,,,,,,,,,,,,,0.34,,,0.28,,,,,,,,,,,,0.05,,,,,,0.08
1568737700000,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,0.14,,,,,,,0.02,,,,,0.29
1568871705000,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,0.10,,,
1569006694000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
1569074199000,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.10,,,,,,,,,,,0.11,,,0.02
1569142150000,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.01
1569209597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1569276280000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
1569412741000,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,
1569480328000,,,,,,,,0.51,,,,,,,,,,,,,0.85,,,,0.14,0.06,,,,,,,,0.17,,,,,
1569548219000,,,,,,,,0.56,,,,,0.23,,,,,,0.10,,,,,,,,,,,,,,,,,,,,
1569683184000,,,,,,,,,,,,,,,,,,,,,0.63,,,,0.30,,,,,,,,,,,,,,
1569751196000,,,,,,,,,,,,,,,,,,0.60,,,0.35,,,,0.27,,,,,,,,,,,,,,
1569885879000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,
1569953471000,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,0.32
1570021093000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1570290984000,,,,,,,,,,,,,,,,,,0.30,,,,,,,0.30,,,,,0.27,,,,0.19,,,,,0.03
1570560314000,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1570628456000,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,
1570696365000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
1570764407000,,,,,,,0.17,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.29
1570900657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1571103316000,,,,,,,0.17,,,,,,,,,,,,,,0.50,,,,0.10,,,,,,,,,,,,,,
1571171084000,,,,,,,,,,,,,,,,,,0.60,,,0.24,,,,,,,,,,,,,,,,,,
1571239896000,,,,,,,0.39,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,0.01
1571307873000,,,,,,,0.24,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,0.02
1571376291000,,,,,,,0.16,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,0.03
1571512073000,,,,,,,,,,,,,,,,,,,,,0.55,,,,0.10,,,,,,,,,,,,,,
1571579975000,,,,,,,,,,,,,,,,,,0.80,,0.31,0.44,,,,0.28,,,,,,,,,,,,,,
1571648150000,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,
1571716619000,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,0.36,0.15,,,,
1571783991000,,,,,,,0.15,,,,,,,,,,,0.33,,,,,,,0.10,,,,,,,,,0.08,,,,,
1571851268000,,,,,,,,,,,,,,,,,,,,,0.37,,,0.60,,,,,,,,,,,,,,,
1571920923000,,,,,,,,,,,,,,,,,0.20,,,,0.48,,,,0.13,,,,,,,,,,,,,,
1571990353000,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,
1572129485000,,,,,,,,,,,,,,,,0.79,,0.21,,0.21,0.69,,,,0.73,,,,,,,,,0.15,,,,,0.01
1572198558000,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,
1572337649000,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1572406531000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1572476793000,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,
1572615810000,,0.20,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,
1572684939000,,0.10,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
1572822749000,,0.27,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,
1572893104000,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
1572962724000,,0.08,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,0.33,,,,,
1573031855000,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,0.23,,,,,
1573171451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1573455245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
1573527153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
1573598526000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1573670409000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,
1573886613000,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,
1574175364000,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,
1574463158000,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,0.01
1574606767000,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,
1574677937000,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,
1574753753000,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,0.01
1574906610000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.06
1574982967000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,
1575059347000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1575212493000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575288653000,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,
1575366165000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.01
1575519604000,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,
1575673602000,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575749392000,,,0.15,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,
1575826602000,,,,,,,,,,,,0.20,,,,,0.07,,,,,,,,,,,,,,,,,0.12,,,,,
1575903384000,,,,,,,,,,,,,,,,,1.12,,,,,,,,,0.13,,1.31,,,,,,,,,,,
1575979374000,,,,,,,,,,,,,,,,,0.08,0.33,,,,,,,,,,0.46,,,,,,,,,,,
1576056123000,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,0.20,,,,,,,,,,,
1576132843000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,
1576208669000,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,
1576288118000,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,0.19,,,,,,,,,,
1576372313000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.01,,,,,,,,,,,
1576541361000,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,
1576627001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,0.00
1576799699000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,0.36,,,,,,,,,,
1576886273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1576971438000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,
1577057861000,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577143907000,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,0.03,,,,,,,,,,
1577315631000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,
1577488582000,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,0.63,,,,,,,,,,,
1577573599000,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577746179000,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,
1577832303000,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
1577918935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,
1578129566000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,
1578195701000,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,
1578261907000,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,0.73,,,,,,,,,,,
1578459841000,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1578526345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,
1578592894000,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,0.03
1578658814000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,0.18,,,,,0.05
1578724741000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1578790822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1578857025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1578923015000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,0.03,,,,,0.01
1578989540000,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
1579055596000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1579254375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.00
1579386588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1579453251000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579650516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1579848954000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,0.08,,,,,
1579982233000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,
1580114658000,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,
1580512997000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,
1581043789000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1581110121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1581243665000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,
1581441429000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581774043000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581841298000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.01
1581907086000,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,0.03,,,,,
1582306851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,
1582439543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
1582505376000,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
1582638796000,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582837876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582970808000,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.00
1583502285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1583567810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,
1583699841000,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
1583966404000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
1584300469000,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
1584434720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1584766483000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,
