timestamp,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xce6a65649367a0e5Cb01ecA76169de502700D26c,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xC454E2B4EbB3C74B2Caf83e74067A8055B375e4E,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0x9b21FFE032055f5e8B25de47d2b590020014262b,​0x8791f37cD18f22298d2d55F3F841D94a4C11F062,​0xbBA9d567cDA89d35e4e69d7ce9Ea0EbaCF2C1B29,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x939BE8a13D987ba2Ad6D071A10ed7c336DEa541a,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1,​0x3F70E1C7369347b74E988463eA1Ae2f831b47411,​0xe66274d856DF06c3aD21B66976Af7e83C40b106b,​0xE23b713BF714E0EA9A319A54a8c3eB0f6687346E,​0x97deC872013f6B5fB443861090ad931542878126,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA,Other
1559653274000,,,,,,,,,,,0.20,,,0.80,,,,,,,,,0.48,
1559721446000,,,,,,,0.49,,,,,,,0.25,,,,,,,,,,
1559788436000,,,,,,,1.22,,,,0.25,,,2.97,,,,,,,0.09,,0.88,
1559855826000,,,,,,,,,,,,,,0.16,,,,,,,,,,
1560194172000,,,,,,,,,,,0.85,,,0.22,,,,,,,,,,
1560262359000,,,,,,,,,,,0.15,,,0.23,,,,,,,,,,
1560329676000,,,,,,,,,,,,,,0.13,,,,,,,,,,
1560397568000,,,,,,,,,,,,,,0.18,,,,,,,,,,
1560599838000,,,,,,,,,,,,,,,,,,,,,0.08,,,
1560668105000,,,,,,,,,,,,,,0.22,,,,,,,0.30,,,
1560734814000,,,,,,,,,,,,,,0.18,,,,,,,,,,
1560802452000,,,,,,,,,,,,,,0.17,,,,,,,,,,
1560870679000,,,,,,,,,,,0.05,,,0.07,,,,,,,,,,
1561073016000,,,,,,,,,,,0.11,,,0.11,,,,,,,,,,
1561140851000,,,,,,,,,,,,,,0.19,,,,,,,,,,
1561275287000,,,,,,,,,,,,,,0.00,,,,,,,,,,
1561342449000,,,,,,,,,,,,,,0.16,,,,,,,,,,
1561409629000,,,,,,,,,,,,,,0.19,,,,,,,,,,
1561543836000,,,,,,,,,,,0.20,,,,,,,,,,,,,
1561611356000,,,,,,,,,,,,,,0.09,,,,,,,,,,
1561679479000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1561881035000,,,,0.10,,,,,,,,,,,,,,,,,,,,
1562486913000,,,,0.12,,,,,,,,,,,,,,,,,,,,
1562553800000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1562620679000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1562687655000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1562889775000,,,,0.11,,,,,,,,,,,,,,,,,,,,
1563158482000,,,,0.36,,,,,,,,,,,,,,,,,,,,
1563226501000,,,,0.72,,,,,,,0.10,,,,,,,,,,,,,
1563295219000,,,,0.88,,,,,,,1.40,,,,,,,,,,,,,
1563430869000,,,,0.38,,,,,,,,,,,,,,,,,,,,
1563631313000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1563698150000,,,,0.43,,,,,,,,,,,,,,,,,,,,
1563966329000,,,,0.29,,,,,,,0.25,,,,,,,,,,,,,
1564033316000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1564302116000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1564503925000,,,,0.18,,,,,,,0.04,,,,,,,,,,,,,
1564570789000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1564772699000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1565039690000,,,,0.08,,,,,,,,,,,,,,,,,,,,
1565173880000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1565509207000,,,,0.04,,,,,,,,,,,,,,,,,,,,
1565776959000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1565843533000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1565978340000,,,,0.31,,,,,,,0.25,,,,,,,,,,,,,
1566179461000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1567255013000,,,,0.13,,,,,,,,,,,,,,,,,,,,
1567321929000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1567389294000,,,,0.20,,,,,,,,,,,,,,,,,,,,
1567457291000,,,,0.18,,,,,,,,,,,,,,,,,,,,
1567658685000,,,,0.09,,,,,,,,,,,,,,,,,,,,
1567860872000,,,,0.17,,,,,,,,,,,,,,,,,,,,
1568603177000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1568803850000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1568939678000,,,,,,,,,,,0.20,,,,,,,,,,,,,
1569142150000,,,,0.11,,,,,,,,,,,,,,,,,,,,
1569412741000,,,,0.27,,,,,,,,,,,,,,,,,,,,
1569548219000,,,,0.37,,,,,,,1.60,,,,,,,,,,,,,
1569615424000,,,,,,,,,,,0.20,,,,,,,,,,,,,
1569885879000,,,,0.21,,,,,,,,,,,,,,,,,,,,
1570088581000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1570156245000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1570223512000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1570290984000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1570424401000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1570696365000,,,,0.08,,,,,,,,,,,,,,,,,,,,
1570764407000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1570900657000,,,,0.07,,,,,,,0.10,,,,,,,,,,,,,
1571036079000,,,,,,,,,,,,,0.01,,,,,,,,,,,
1571103316000,,,,0.23,,,,,,,,,,,,,,,,,,,,
1571171084000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1571307873000,,,,0.14,,,,,,,,,,,,,,,,,,,,
1571444011000,,,,0.79,,,,,,,0.10,,,,,,,,,,,,,
1571512073000,,,,0.42,,,,,,,0.10,,,,,,,,,,,,,
1571579975000,,,,0.09,,,,,,,,,,,,,,,,,,,,
1571648150000,,,,0.07,,,,,,,0.20,,,,,,,,,,,,,
1571716619000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1571851268000,,,,2.19,,,,,,,0.40,,,,,,,,,,,,,
1571920923000,,,,2.60,,,,,,,1.45,,,,,,,,,,,,,
1571990353000,,,,0.97,,,,,,,0.55,,,,,,,,,,,,,
1572060724000,,,,1.11,,,,,,,0.60,,,,,,,,,,,,,
1572129485000,,,,0.16,,,,,,,0.10,,,,,,,,,,,,,
1572198558000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1572406531000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1572476793000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1572546064000,,,,,,,,,,,,,0.00,,,,,,,,,,,
1572822749000,,,,0.08,,,,,,,0.15,,,,,,,,,,,,,
1572893104000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1573311556000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1573382543000,,,,0.09,,,,,,,,,,,,,,,,,,,,
1573814675000,,,,0.14,,,,,,,,,,,,,,,,,,,,
1573958177000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1574030120000,,,,0.11,,,,,,,,,,,,,,,,,,,,
1574390894000,,,,0.11,,,,,,,,,,,,,,,,,,,,
1574677937000,,,,0.08,,,,,,,,,,,,,,,,,,,,
1574829912000,,,,0.18,,,,,,,,,,,,,,,,,,,,
1574906610000,,,,0.41,,,,,,,,,,,,,,,,,,,,
1574982967000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1575059347000,,,,0.21,,,,,,,,,,,,,,,,,,,,
1575288653000,,,,0.10,,,,,,,,,,,,,,,,,,,,
1575366165000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1575519604000,,,,0.11,,,,,,,,,,,,,,,,,,,,
1575596839000,,,,0.17,,,,,,,,,,,,,,,,,,,,
1575826602000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1576541361000,,,,0.15,,,,,,,,,,,,,,,,,,,,
1576799699000,,,,0.11,,,,,,,,,,,,,,,,,,,,0.01
1576886273000,,,,0.95,,,,,,,,,,,0.56,,,,,,,,,
1576971438000,,,,0.09,,,,,,,,,,,,,,,,,,,,
1577057861000,,,,0.15,,,,,,,,,,,,,,,,,,,,
1577143907000,,,,0.12,,,,,,,,,,,,,,,,,,,,
1577229621000,,,,0.08,,,,,,,,,,,,,,,,,,,,
1577315631000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1577746179000,,,,0.00,,,,,,,,,,,,,,,,,,,,
1577832303000,,,,0.10,,,,,,,,,,,,,,,,,,,,
1577918935000,,,,0.10,,,,,,,,,,,,,,,,,,,,0.01
1578658814000,,,,0.20,,,,,,,,,,,,,,,,,,,,
1578989540000,,,,,,,,,,,,,0.00,,,,,,,,,,,
1579055596000,,,,0.63,,,,,,,,,,,,,,,,,,,,
1579254375000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1579320115000,,,,0.08,,,,,,,,,,,,,,,,,,,,0.00
1579518909000,,,,0.09,,,,,,,,,,,,,,,,,,,,
1579584998000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579783170000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1579982233000,,,,0.06,,,,,,,,,0.03,,,,,,,,,,,
1580049245000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1580114658000,,,,0.19,,,,,,,,,,,,,,,,,,,,
1580247630000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1580446477000,,,,,,,,,,,,,,,,,,,,,,,,0.06
1580910496000,,,,0.32,,,,,,,,,0.06,,,,,,,,,,,
1581177428000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1581508790000,,,,,,,,,,,,,0.04,,,,,,,,,,,
1581574720000,,,,0.11,,,,,,,,,,,,,,,,,,,,
1581641265000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1581774043000,,,,0.13,,,,,,,,,,,,,,,,,,,,
1582240159000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1582306851000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1582505376000,,,,,,,,,,,,,0.11,,,,,,,,,,,
1582771019000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1583502285000,,,,0.08,,,,,,,,,,,,,,,,,,,,
1583633541000,,,,0.08,,,,,,,,,,,,,,,,,,,,
1583767163000,,,,0.08,,,,,,,,,,,,,,,,,,,,
1583966404000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1584300469000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1584434720000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1584500082000,,,,0.12,,,,,,,,,,,,,,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,,,,,,,0.01
1584699859000,,,,0.06,,,,,,,,,,,,,,,,,,,,
1585036977000,,,,,,,,,,,,,0.08,,,,,,,,,,,
1585105600000,,,,0.24,,,,,,,,,0.28,,,,,,,,,,,
1585306138000,,,,0.07,,,,,,,,,,,,,,,,,,,,
1585836257000,,,,,,,,,,,,,,,,,0.05,,,,,,,
1585903293000,0.60,,,0.34,,,,,,,,,,,,,,,,0.69,,,,
1586036191000,,,,0.15,,,,,,,,,,,,,,,,,,,,
1586236183000,,,,0.14,,,,,,,,,,,,,,,,,,,,
1586301955000,,,,,,,,,,,,,,,,,0.16,,,,,,,
1586368858000,,,,,,,,,,,,,0.05,,,,,,,,,,,
1586833705000,0.27,0.10,,,,,,,,,,,,,,,,,,,,,,0.03
1587033174000,,,,,,,,,,,,,0.05,,,,,,,,,,,
1587099968000,,0.07,,,,,,,,,,,,,,,,,,,,,,
1587167698000,0.45,0.42,,,,,,,,,,,,,,,,,,,,0.24,,
