timestamp,​0x7FfDD8FeFB6085886EFe2651943bcb772432dEEf,​0x2174a92437219dff0cd2d69181Fd8076Ed5f1FFf,​0x4695f776E102B93537e5b50a30C149e6Be730a8B,​0xEe37f338220479C8F652e3557f02513BdB11C160,​0xA9f4E25F89E960eA33Be7f7aD5699D0077d249CC,​0x1AF86eec2D46160B784Ab7f4Ff9C62eC7294d762,​0x626A7976D5256D12b4E503C053b043ECcc674Ddf,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x2c6b36530c0f25FA2765e2901101b4FCF149DEC4,​0x3744Fd83098A298A0406cABf1eE0ea622327661D,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0xA901368aec255B1e6DF31edf8Aa735fF16Bb12a8,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x3F70E1C7369347b74E988463eA1Ae2f831b47411,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x4C22b172886860B759172f7c5D027b518211D14B,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xe9a5bbe41dc63D555E06746b047d624E3343EA52,​0x97deC872013f6B5fB443861090ad931542878126,​0x59a1EaA24a7ee3c7ec51Fecc5639d203D804602B,​0x0763A0C1512F0e10564e70a9A2039aB0CDb465aE,​0xe5e1e9c58DB4ECaB40fD46D7aC3578b74c1D0921,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0x2f53FC0F66E6703f0070d0cb466b2518Af4da909,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,Other
1584300469000,,,,,,,,,,,,,2.63,3.50,,,,,,2.18,,,1.89,,,,,
1584367227000,,,,,,,,,,,,,,6.00,1.00,,,,,,,,2.91,,,,,0.05
1584434720000,,,,,,,,,,,,,0.95,2.00,,2.46,,,,,,,1.91,,,,,0.05
1584500082000,,,,,,,,,,,,,,,,2.27,,,,,,,0.97,,,,,
1584566455000,1.15,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,
1584632903000,,,,,,,,,,,,,,1.00,,,,,,,,,0.96,,,,,0.29
1584699859000,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,
1584766483000,,,0.05,,,,,4.04,,0.93,,,,4.50,,4.69,,,,,,,2.80,,,,,
1584902413000,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,
1584970249000,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,
1585036977000,,,,,,,,,,,,,,,,,,,,,,,3.83,,,,,
1585105600000,0.10,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,
1585173391000,,,,,,,,,,,,,,,,,,,,,,,2.91,,,,,
1585239172000,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,
1585306138000,,,,,,4.92,,,,,,,,,,,,,,,,,1.96,,,,,
1585372283000,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,
1585438491000,,,,,,,,,,,,,,,,,,,,,,,2.90,,0.48,,,
1585504149000,,,,,,,,3.75,,,,,,2.02,,,,,,,,,5.95,,,,4.71,
1585571105000,,,,,,,,,,,,,0.20,1.01,,,,0.27,,,,,0.95,,,,,
1585637238000,,,,,,,,,,,,,,2.00,,,,,,,,,4.80,,,,,0.32
1585704243000,,,,,,,,,,,,,,1.01,,,,,,,,,0.97,,,,,
1585770840000,,,0.03,,,,,,,,,,,4.03,,,,,,,,,2.01,,,1.50,,
1585836257000,,,0.05,,,,,,,,,,0.39,5.00,2.00,,,,,,,,,,,,,
1585903293000,,,0.27,,,,,,1.51,,,,,1.01,,,,,,,,,1.00,,,,,
1585969610000,,,0.07,,,,,,,,,,,1.01,,,,,,,,,1.01,,,,,
1586036191000,,,0.35,,,,,,,,,,,1.00,,,,,,,,,3.00,,,,,
1586169028000,,,,,,,,,,,,,,4.57,,,,,,,,,2.98,,,,,
1586236183000,,6.09,,,,,,,,,,,,14.22,,,,,,,,,10.45,,,,,0.30
1586301955000,,,,,,,,,,,,,0.33,,,,,,,,,,6.50,,,,,
1586368858000,,,,,,,,,,,,,,1.00,,,,,,,,,0.91,,,,,0.29
