timestamp,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x1876618062A3cddbd0400BE5358B9201bb048B51,​0xe35559f3E2Ad9d00e96b9539D8FD0340F2B8c4af,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x894B2Af6D9480b1d0000a7F3812285fE1C2B406F,​0xF6962b0BC87869fec44020f7061252dC83857dd4,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x37cdD74cD3569136Edf211BE88D58906b95C5cB5,​0xdf22Ac5D9fEd8d8E67f7D0E0C255D772AEd55191,​0x6257ED6A605555C8D3aF8C06c7FF7CDCBfbdF546,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x2Bf5A5bA29E60682fC56B2Fcf9cE07Bef4F6196f,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x77D4B24547cf1905d3C479a2c5AaB0688D65A126,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0xA540fb50288cc31639305B1675c70763C334953b,​0x47653DE428Ff814CC2B78e7A4B569c1AeC4adD7c,​0xa96dbFd3Ef810dd8D13c330a3881E7e9C2aEb6dd,​0xA72BB64b439414E3dA72Bf35694BC97B638fD7a5,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,Other
1555809867000,,,,,,,,,,,,,,,,,,0.77,,,,,,,,
1556348416000,,,,,,,,,,,,,,,,,,0.41,,,,,,,,
1556549842000,,,,,,,,,,,,,,,,,,0.32,,,,,,,,
1556750704000,,,,,,,,,,,,,,,,,,0.30,,,,,,,,
1557087154000,,,,,,,,,,,,,,,0.19,,,1.25,,,,,,,,
1557155617000,,,,,,,,,,,,,,,,,,0.32,,,,,,,,
1557426851000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1557628854000,,,,,,,,,,,,,,,0.03,,,0.59,,,,,,,,
1557695794000,,,,,,,,,,,,,,,0.01,,,0.58,,,,,,,,
1557830231000,,,,,,,,,,,,,,,,,,0.16,,,,,,,,
1557897304000,,,,,,,,,,,,,,,,,,0.45,,,,,,,,
1558099488000,0.25,,,,,,,0.50,,,,,,,,,,,,,,,,,,
1558166754000,,,,,,,,,,,,,,,,,,0.28,,,,,,,,
1558234852000,,,,,,,,,,,,,,,,,,0.27,,,,,,,,
1558301987000,,,,,,,,,,,,,,,,,,1.06,,,,,,,,
1559855826000,,,,,,,,,,,,,,,,,,0.40,,,,,,,,
1561073016000,,,,,,,,,,,,,,,,,,1.75,,,,,,,1.11,
1561140851000,,,,,,,,,,,,,,,,,,1.42,,,,,,,,
1561275287000,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
1561409629000,,,,,,0.77,,,,,,,,,0.04,,,,,,,,,,,
1561948615000,,,,,,,,,,,,,,0.21,,,,,,,,,,,,
1562218341000,,,,,,0.55,,,,,,,,,,,,,,,,,,,,
1562352854000,,,,,,0.27,,,,,,,,,,,,,,,,,,,,
1562620679000,,,,,,,,,,,,,,,0.10,,,0.23,,,,,,,,
1562957966000,,,,,,,,,,,,,,0.06,,,,,,,,,,,,
1563362708000,,,,,,,,,,,,,,0.12,,,,,,,,,,,,
1563496525000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1564503925000,,,,,,,,,,,,,,,,,,0.29,,,,,,,,
1564839134000,,,,,,,,,,,,,,,,,,0.21,,,,,,,,
1569209597000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
1570021093000,,,,,,,,,,,,,,0.02,,,,,,,,,,,,
1572060724000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1572822749000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574175364000,,,,,,,,,,,,,,,,,,,,,0.17,,,,,
1575442393000,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
1575519604000,,,,,,,,,,,,,,,,,,,,,,,,0.59,,
1575979374000,,,,,0.18,,,,,,,,,0.01,,,,,,,,,,0.40,,
1576799699000,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1578327837000,,,,,,,,,,,,,,,,,,,,,,1.50,,,,
1578393679000,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
1578459841000,,,,,0.64,,,,,,,,,,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1580049245000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
1580313366000,,,0.07,,,,,,,,,,,,,,,,,,,,,,,
1581243665000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581375300000,,,,0.01,,,,,,,,,,,,,,,,,,,,,,
1581508790000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581641265000,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1581907086000,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1582106715000,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1583767163000,,,,,,,,,,,0.16,,,,,,,,,,,,,,,0.00
1583900197000,,,,,,,,,,0.17,,,,,,,,,,,,,,,,
1583966404000,,,,,0.19,,,,,,,,,,,,,,,,,,,,,
1585637238000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1587099968000,,,,,0.24,,,,,,,,,,,,,,,,,,,,,
1587167698000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
1587568237000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,,,,0.03,,,,,,,,,
1587836062000,,,,0.06,,,,,,,,,,,,0.11,,,,,,,,,,
1587902337000,,,,0.17,,,,,,,,,,,,,,,,,,,,,,
1588036978000,,,,,,,0.00,,,,,,,,,,0.03,,,,,,,,,
1588237076000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
1588438821000,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
1588506516000,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
1588572377000,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
1588638430000,,,,,,,,,,,,,,,,,0.00,,,,,,,,,0.00
1588705743000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588771981000,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
1588906152000,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1589040204000,,,,,,,0.01,,,,,,,,,,0.00,,,,,,,,,0.02
1589241093000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589509055000,,,,,,,,,0.19,,,,,,,,,,,,,,,,,
1589778055000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1589845567000,,,,,,,,,,,,,,,,,0.00,,,,,,,,,0.02
1590047677000,,,,,,,0.30,,,,,,,,,,,,,,,,,,,
1591256276000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1594400599000,,,,,,,,,,0.96,,,,,,,,,,,,,,,,
1601187908000,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
