timestamp,​0x7D2E10A52eB243e87e98648b89E09FC37B473779,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x5D928BB961f49583Dd69a19cE72DEd2be7AE1DC1,​0x1b7c3902BeE03d5cA64CE20F47f811EB7029d173,​0x5827696E05e587Ba62d2C0773AcE3426895E3155,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x152676C60B6e1c4e70E197444217ab9dC0737A1b,​0x765AD3Ff78415831d9c69dEE1Cd5D56d09736aDc,​0xc6f4Ed55921E0B73c5b3A916F005d80216cF17da,​0x7F295F242Fd4dBcE27D755f5830a9f88FF1329d8,​0xA9123b5FD4B0975f8FF11F1dE121e3Bcf59D9a0c,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xe6C58978D013B757eB315BD6fd776bEe2ee2b63c,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x17e5BF07D696eaf0d14caA4B44ff8A1E17B34de3,​0x97deC872013f6B5fB443861090ad931542878126,​0x08b98d2b2B5b4DAcAC2D867614bA57dDCE5148Ce,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xc645303a36d7313f1414250DdfDdD58A972e1a35,​0x2cc96F1a3e55882DE61B965b668AE3A5326f4CE0,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x7091de9A5435dbA7F051045d64c5ef56bD96064e,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xD5Dfe862Ded2EcFa1E7831476F9DD7d4080bdfB5,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1586434964000,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586501245000,,0.40,,,,,,,,,,,,,,,,,,0.04,,,,,,,,0.01,,
1586701369000,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,
1586767741000,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,
1586833705000,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,0.55,,,0.00
1586900049000,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.25,,,
1587033174000,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587234387000,,0.90,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,0.00
1587368133000,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,
1587434258000,,,,,,,,0.67,,,,,,,,,,,,,,,,,,0.38,,,,
1587634602000,,0.30,,,,,,0.54,,,,,,,,0.01,,,,,,,,,,,,,,
1587836062000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1587902337000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,
1587969951000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588371539000,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588506516000,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588572377000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,
1588638430000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,
1588705743000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,
1588906152000,,,,,,1.08,,,,,,0.67,,,,,,,,,,,,,,,,0.04,,
1588972800000,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,
1589040204000,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,0.68,,,
1589174391000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,
1589442351000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589845567000,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,
