timestamp,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x97deC872013f6B5fB443861090ad931542878126,​0x6f0189e3dd542E5d16BdCc5642BADc884BBD16Ec,​0x88dF13889E20EFa93Ff9a0C08f101F431bD9DDD7,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0x505C02B4aa1286375FBDF0c390AC0fe9209DCB05,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x6E0b0C5faf7a95B7db4765d40c2c79e4224d0d65,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0xF981A18E8eA76d6629F094731CD9fCA73aBeCdA7,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xe15553F2B19301849f68d0Ea7B145BB19646c727,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x523D1e921a8EAdCBBcDc1e2D23f1d88498d0559F,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0xF996D7d9BaCb9217ca64BBce1b1cD72E0E886Be6,Other
1578393679000,,,0.29,,,,,,,,,,,,,,,,,,,,
1578459841000,,,0.78,0.48,,,,,,,,,,,,,,,,,,,0.10
1578526345000,,,0.15,0.81,,,,,,,,,,,,,,,,,,,
1578592894000,,,1.36,,0.61,,,,,,,,0.26,0.39,,,,,,,,0.34,
1578658814000,,,,,,,,,,,,,,0.10,,,,,,,,,
1578724741000,,,0.74,,,,,,,,,,,,,,,,,,,,
1578790822000,,,0.30,0.14,0.13,,,,,,,,,,,,,,,,,,
1578923015000,,,0.75,,,,0.23,,,,,,,0.34,,,,,,,,0.11,
1578989540000,,,0.61,,,,,,,,,,,0.11,,,,,,,,,
1579055596000,,,2.19,0.18,0.38,,,,,,,,,,,,,,,,,,
1579122050000,,,0.76,0.85,,,,,,,,,,,,,,,0.08,,,,
1579188604000,,,0.45,0.62,0.11,,,,,,,,,,,,,,,,,,0.02
1579254375000,,,0.80,,,,,,,,,,,,,,,,,,,,
1579320115000,,,0.52,0.37,,,,,,,,,,0.16,,,,,,,,,0.00
1579386588000,,,0.68,0.37,,,,,,,,,,,,,,,,,,,
1579453251000,,,0.14,0.91,,,,,,0.64,,,,0.13,,,,,,,,,
1579518909000,,,0.17,,,,,,,,,,,,,,,,,,,,
1579584998000,,,0.39,0.33,,,,,,,,,,,,,,,,,,,0.00
1579650516000,,,0.25,0.11,,,,,,,,,,,,,,,,,,,
1579717286000,,,,0.19,,,,,,,,,,,,,,,,,,,
1579783170000,,,0.10,0.33,,,,,,,,,,0.10,,,,,,,,,
1579848954000,,,0.10,0.29,,,,,,,,,,0.14,,,,,,,,,
1579915579000,,,0.43,0.33,,,,,,,,,,,,,,,,,,,
1579982233000,,,0.79,0.11,,,,,,,,0.66,,,,,,,,,,,
1580049245000,,,0.11,,,,,,,,,,,,,,,,,,,,
1580114658000,,,0.43,,,,,,,,,,,,,,,,,,,,
1580180893000,,,0.50,,,,,,,,,,,,,,,,,,,,
1580247630000,,,0.14,,0.11,,,,,,,,0.16,,,,,,,,,,0.01
1580313366000,,,0.46,,,,,,,,,,,,,,,,,,,,
1580380051000,,,0.10,0.27,,,,,,,,,,0.03,,,,,,,,,0.01
1580446477000,,,0.75,,,,,,,,,,,,,,,,,,,,
1580512997000,,,0.14,0.13,,,,,,,,,0.26,0.06,,,,,,,,,
1580579921000,,,0.23,,,,,,,,,,,,,,,,,,,,
1580645575000,,,0.68,0.11,,,,,,,,,,,,,,,,,,,0.02
1580711822000,,,0.20,,0.11,,,,,,,,,,,,,,,,,,0.02
1580778615000,,,0.13,,0.21,,,,,,,,,,,,,,,,,,
1580844182000,,,0.16,0.36,,,,,,,,,,,,,,,,,,,
1580910496000,,,0.61,,,,,,,,,,,,,,,,,,,,
1580977343000,,,0.90,0.14,,,,,,,,,,,,,,,,,,,
1581043789000,,,0.84,0.31,,,,,,,,,,,,,,,,,,,0.01
1581110121000,,,0.14,,,,,,,,,,,,,,,,,,,,
1581177428000,,,0.48,,0.30,,,,,,,,,,,,,,,,,,
1581243665000,,,0.25,,,,,,,,,,,,,,,,,,,,0.01
1581310184000,,,0.10,0.11,0.10,,,,,,,,,0.18,,,,,,,,,
1581375300000,,,0.25,,0.25,,,,,,,,,,,,,,,,,,
1581441429000,,,0.76,,0.10,,,,,,,,,,,,,,0.08,,,,
1581508790000,,,0.98,,,,,,,,,,,,,,,,,,,,
1581574720000,,,0.84,,0.09,,,,,,,,,,,,,,,,,,0.01
1581641265000,,,0.72,0.26,0.34,,,,,,,,,0.29,,,,,,,,,
1581707956000,,,0.80,0.22,,,,,,,,,,,,,,,,,,,0.01
1581774043000,,,0.32,0.29,,,,,,,,,,,,,,,,,,,0.01
1581841298000,,,0.46,0.69,,,,,,,,,0.17,,,,,,,,,,
1581907086000,,,1.12,0.86,0.08,,,,,,,,,0.22,,,0.64,,,,0.04,,
1581973926000,,,0.98,0.23,,,,,,,,,0.35,0.24,,,,,,,,,
1582040665000,,,0.85,0.33,,,,,,,,,,,,,,,,,,,
1582106715000,,,0.52,0.24,,,,,,,,,,,,,,,,,,,0.01
1582173039000,0.30,0.30,0.83,0.86,,,,,,,,,0.37,0.21,,,,1.08,,,,,0.00
1582240159000,,,0.43,,0.25,,,,,,,,0.14,0.13,,,,,,,,,
1582306851000,,,0.41,0.12,,,,,,,,,,,,,,,,,,,
1582372667000,,,0.10,0.40,,,,,,,,,,,,,,,,,,,
1582439543000,,,0.47,,,,,,,,,,,,,,,,,,,,
1582505376000,,,0.16,,,,,,,,,,,,,,,,,,,,
1582571821000,,,0.12,0.26,,,,,,,,,,0.28,,,,,,,,,
1582638796000,,,,,,,,,,,,,,0.12,,,,,,,,,
1582705647000,,,0.14,,,,,,,,,,,1.08,,,,,,,,,
1582771019000,,,1.49,,0.18,,,,,,,,,1.59,,,,1.00,,,,,
1582837876000,,,1.12,,0.14,,,,,,,,,,,0.06,,,,,,,
1582904573000,,,0.45,,0.56,,,,,,,,,0.47,,,,,,,,,
1582970808000,,,0.60,,0.27,,,,,,,,,,,,,,,,,,
1583036689000,,,0.10,,0.10,,,,,,,,,0.13,,0.14,,,,,,,
1583103301000,,,0.28,,0.11,,,,,,,,,0.59,,,,,,,,,
1583168974000,,,0.81,,,,,,,,,,,,,,,,,,,,0.01
1583235956000,,,,,,,,,,,,,,,,,,,,,0.03,,
1583302077000,,,0.22,0.25,0.14,,,,,,,,,,,,,,,,,,
1583368317000,,,0.10,,0.25,,,,,,,,,,,,,,,,,,
1583435384000,,,0.38,,,,,,,,,,,,,,,,,,,,
1583502285000,,,0.40,,0.10,,,,,,,,,,,,,,,,,,
1583567810000,,,0.25,,,,,,,,,,,,,,,,,,,,
1583633541000,,,0.24,,0.16,,,,,,,,,0.47,,,,,,,,,
1583699841000,,,0.39,0.11,0.92,,,,,,,,,0.51,,,,,,,,,
1583767163000,,,0.65,0.23,0.95,,,,,,,,,,,0.14,,,0.16,,,,
1583833348000,,,0.44,,0.12,,,,,,,,,0.32,,,,,,,,,
1583900197000,0.06,,2.10,,0.13,,,,,,0.07,,,,,,,2.00,,,,,
1583966404000,,,0.44,,0.17,,,,,,,,,0.52,,0.37,,,,,,,
1584033400000,0.78,,1.93,,0.58,,,,,,0.83,,,5.24,,0.42,,,,,,,
1584100621000,0.37,,1.56,1.21,0.46,,,,,,0.38,,0.39,0.59,0.36,0.59,,,,,,,
1584168330000,0.38,,2.87,,2.35,,,,,,0.40,,,0.23,,,,,,,,,
1584234522000,,,0.26,,0.14,,,,,,,,,0.63,,0.10,,,,,,,
1584367227000,,,0.36,,0.16,,,,,,,,,0.32,,,,,,,0.05,,
1584632903000,,,0.38,,0.21,,,,,,,,,,,,,,,,,,
1584699859000,,,3.26,,0.70,,,,,,,,,0.48,,,,,,,,,0.12
