timestamp,​0xE23b713BF714E0EA9A319A54a8c3eB0f6687346E,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x778FDaf34BB5993D69968f541152451241Fab7e3,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xe8c816513946907e42764c0d74aa1029EE1a0F6A,​0x8a47cD7A8a2b11294Ba719c0eF856243cAcea5EA,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1,​0x0000000000C90bc353314b6911180ED7E06019A9,​0xdf22Ac5D9fEd8d8E67f7D0E0C255D772AEd55191,​0x80265d7e979B911EC55cC930161efE885b75b658,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x022ca32d31da3Ef85922AAFD9aD29C5b2418172C,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x2c9Bd9Db61eCCF16eD766b598bC5e0706c992296,​0xc7fbA841c48e84D26108B494d7BaB4B2697cC278,​0x52DD74D511753B464867D831f78DFcbf05D255d7,​0xce6a65649367a0e5Cb01ecA76169de502700D26c,​0x6d5fe1342745230063BE26117Abb4612d9876Ba5,​0xb21A1aAD487489ACd6d0aC7E9323EEfF9a6BB688,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x498aA5830da490C85Dc4d92B410aAB86edB26c17,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x333A397F93c15d46Cb95FE34245D19Bbb0D677CC,​0x3df2001E2E7CA378Bb6f6B3b1C58b803b0d397C0,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0x536956Fab86774fb55CfaAcF496BC25E4d2B435C,​0x000000001e29fcd9B1469a7954DC65ff254FFfC0,​0x88dD970bad4af1ec07917C9d4657E7D8946034cf,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA,Other
1552845464000,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,0.03
1552913957000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1552981368000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
1553183074000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,
1553250112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
1553384962000,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,
1553519035000,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553654855000,0.12,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,
1553721327000,0.12,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,0.60,,,,,,,,
1553789263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,
1553856960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1553924945000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,
1553992486000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,
1554060309000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,
1554127394000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
1554195576000,0.13,,,,0.45,,,,,,,,,,,,,,,,,,,,,0.20,,,,0.83,,,,,,,,0.15
1554262735000,0.15,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,
1554331280000,0.20,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,
1554398543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,
1554466199000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,
1554599495000,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,
1554666574000,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554733845000,,0.11,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,0.25,,,,,,,,
1554800647000,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554867921000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,
1554934968000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,
1555002718000,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07
1555070200000,,0.11,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,0.07
1555203091000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,
1555270669000,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
1555337473000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1555405471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,0.04
1555472795000,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555608237000,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555674728000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,
1555741612000,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,
1555809867000,,0.11,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555876621000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,
1555943613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1556011928000,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556079702000,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,
1556147660000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556214175000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,
1556281668000,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556348416000,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556415030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,
1556482542000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,
1556549842000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,0.06
1556616633000,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,
1556684172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,
1556750704000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
1556818035000,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,
1556885912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,0.10
1556953014000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.10
1557019302000,,0.10,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557087154000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1557155617000,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557223295000,,,,,0.15,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557291012000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557358549000,,0.25,0.50,,0.75,,,,,0.50,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,
1557426851000,,,0.26,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1557494292000,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557561044000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
1557628854000,,2.19,,,0.55,0.46,,,,,1.41,,,,,,,,,,,,,,,2.64,,,,,,,,0.06,,,,0.10
1557695794000,,,,,0.15,,,,0.11,,,,,,,,,,,,,,,,,0.23,,,,,,,,0.28,,,,
1557830231000,,0.41,0.25,,0.20,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,
1557897304000,,1.01,0.25,,0.65,,,,,1.00,,,,,,,,0.27,,,,,,,,,,,,,,,,0.52,,,,
1557964138000,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,
1558032652000,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,
1558099488000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,
1558166754000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,
1558234852000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,
1558301987000,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.11,,,
1558370897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
1558438516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
1558506088000,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,,
1558573856000,,,,,0.20,,,,,,,,,,,,,,,,,,,,0.21,,,,,1.23,,,,,,,,
1558641898000,,,0.50,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,1.66,,,,,,,,0.01
1558709678000,,,,,,,,,,,,,,,,,,0.10,,,,0.08,,,,,,,,0.08,,,,,,,,0.01
1558776750000,,,0.25,,0.35,,,,,,,,,,,,,0.56,,,,0.11,,,,,,,,0.77,,,,,,,0.28,
1558842948000,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,0.02,,,,,,,,
1558910067000,,,,,,,,,,,,,,,,,,1.10,,,,0.50,,,,,,,,1.24,,,,,,,,
1558977860000,,,,,,,,,,,,,,,,,,0.16,,,,0.21,,,,,,,,0.57,,,,,,,,
1559045953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,0.01
1559112912000,,,,,0.50,,,,,,,,,,,,,,,,,0.34,,,,,,,,0.64,,,,,,,,
1559179166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
1559247339000,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
1559315112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,
1559382148000,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,0.17,,,,,,,,
1559449529000,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,0.11,,,,,,,,
1559517685000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,
1559653274000,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,0.23,,,,,,,,
1559721446000,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,1.01,,,,,,,,
1559788436000,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,0.16,,,,,,,,
1559855826000,,,,,,,,0.28,,,,,,,,,,0.18,0.12,,,,,,,,,,,1.11,0.31,,,,,,,
1559923832000,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,0.83,,,,,,,,
1559991921000,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,0.06,,,,,,,,
1560059515000,,,,,0.50,,,,,,,,,,,,,,0.11,,,,,,,,,,,0.30,,,,,,,,
1560127542000,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,0.47,,,,,,,,
1560194172000,,,,,,,,,,,,,,,,,,0.24,0.29,,,,,,,,,,,0.36,,,,,,,,
1560262359000,,,,,0.25,,,0.35,,,,,,,,,,,0.28,,,,,,,,,,,0.11,,,,,,,,
1560329676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,
1560397568000,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,0.45,,,,,,,,
1560464402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,
1560531936000,,,,,0.30,,,0.21,,,,,,,,,,0.57,1.18,,,,,,,,,,,0.47,,,,,,,,
1560599838000,,,,,1.30,,,,,,,,,,,,,1.68,1.79,,,,,,,,,,,5.13,,,,,,,,
1560668105000,,,,,0.20,,,,,,,,,,,,,0.60,1.13,,,,,,,,,,,0.92,,,,,,,,
1560734814000,,,,,,,,0.50,,,,,,,,,,1.41,0.17,,,,,,,,,,,1.22,,,,,,,,
1560802452000,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,
1560870679000,,,,,,,,,,,,,,,,,,0.22,0.50,,,,,,,,,,,0.17,,,,,,,,
1560937524000,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,0.51,,,,,,,,0.00
1561005597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,
1561073016000,,,,,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,0.56,,,,,,,,
1561140851000,,,,,0.20,,,,,,,,,,,,,0.61,0.20,,,,,,,,,,,0.18,,,,,,,,
1561208281000,,,,,0.25,,,0.96,,,,,,,,,,0.95,0.25,,,,,,,,,,,0.44,,,,,,,,
1561275287000,,,0.25,,0.20,,,,,,,,,,,,,1.75,0.30,,,,,,,,,,,1.36,,,,,,,,
1561342449000,,,0.50,,,,,,,,,,,,,,,0.92,0.23,,,,,,,,,,,0.50,,,,,,,,
1561409629000,,,,,0.20,,,0.30,,0.50,,,,,,,,0.58,,,,,,,,,,,,0.92,,,,,,,,
1561476955000,,,,,0.60,,,,,,,,,,,,,0.32,0.11,,,,,,,,,,,1.08,,,,,,,,
1561543836000,,,,,0.20,,,0.25,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,
1561611356000,,,0.25,,0.25,,,,,,,,,,,,,1.02,,,,,,,,,,,,1.24,,,,,,,,
1561679479000,,,,,,,,,,,,,,,,,0.27,,0.10,,,,,,,,,,,0.24,,,,,,,,0.00
1561747149000,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,0.78,,,,,,,,0.00
1561814305000,,,,,0.20,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,
1561881035000,,,0.25,,0.20,,,1.04,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,0.21
1561948615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,
1562015969000,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,
1562082973000,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,0.30,,,,,,,,
1562150796000,,,,,0.20,,,,,,,,,,,,0.23,,,,,,,,,,,,,0.66,,,,,,,,
1562218341000,,,,,1.00,,,,,0.50,,,0.25,,,,1.52,0.00,0.37,,,,,,,,,,,0.56,,,,,,,,
1562285611000,,,,,0.60,,,,,,,,0.50,,,,1.29,,0.37,,,,,,,,,,,1.13,,,,,,,,
1562352854000,,,,,,,,,,,,,,,,,0.27,,0.37,,,,,,,,,,,0.13,,,,,,,,
1562419899000,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,
1562486913000,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,0.09,,,,,,,,
1562553800000,,,,,,,,,,,,,,,,,0.38,,0.23,,,,,,,,,,,0.26,,,,,,,,
1562620679000,,,,,0.25,,,,,,,,,,,,0.75,,0.34,,,,,,,,,,,0.46,,,,,,,,
1562687655000,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,
1562755228000,,,,,,,,,,,,,,,,,0.63,,0.09,,,,,,,,,,,,,,,,,,,
1562821814000,,,,,0.20,,,,,,,,,,,,0.55,,,,,,,,,,,,,0.26,,,,,,,,0.19
1562889775000,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,0.18,,,,,,,,
1562957966000,,,,,,,,,,,,,,,,,0.50,,0.26,,,,,,,,,,,0.09,,,,,,,,
1563025451000,,,,,,,,,,0.50,,,0.26,,,,0.65,,0.20,,,,,,,,,,,0.41,,,,,,,,
1563091362000,,,,,,,,,,,,,,,,,0.35,,0.10,,,,,,,,,,,0.25,,,,,,,,
1563158482000,,,,,0.20,,,,,0.50,,,0.25,,,,,,,,,,,,,,,,,0.34,,,,,,,,
1563226501000,,,,,0.55,,,,,,,,,,,,0.32,,,,,,,,,,,,,0.37,,,,,,,0.30,
1563295219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,
1563362708000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563430869000,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,0.25,,,,,,,,
1563496525000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,0.03,,,,,,,,
1563564858000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,
1563631313000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
1563698150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,
1563765551000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
1563832155000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.24,,,,,,,,
1563899459000,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,0.15,,,,,,,,
1563966329000,,,,,,,,,,,,,,0.09,,,0.08,,,,,,,,,,,,,,,,,,,,,
1564033316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
1564101403000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.04,,,,,,,,
1564168317000,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,
1564235604000,,,,,,,,,,,,,,0.06,,,,,0.06,,,,,,,,,,,,,,,,,,,
1564369151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,
1564570789000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564637313000,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1564705696000,,,,,0.10,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,
1564772699000,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1564839134000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,
1564905518000,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.07,,,,,,,,
1564972688000,,,,,,,,,,,,,,0.06,,,0.07,,0.07,,,,,,,,,,,0.07,,,,,,,,
1565039690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,
1565106699000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,
1565173880000,,,,,0.75,,,,,,,,0.25,,,,0.78,,0.16,,,,,,,,,,,1.07,,,,,,,,
1565241308000,,,,,,,,,,,,,,,,,0.13,,0.13,,,,,,,,,,,0.71,,,,,,,,
1565308246000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,
1565375748000,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,0.02
1565441736000,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,0.04,,,,,,,,
1565509207000,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.43,,,,,,,,
1565576260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1565643196000,,,,,,,,,,,,,,0.08,,,0.41,,0.06,,,,,,,,,,,0.32,,,,,,,,
1565710691000,,,,,,,,,,,,,,0.12,,,0.16,,,,,,,,,,,,,0.17,,,,,,,,
1565776959000,,,,,,,,,,,,,,,,,0.09,,0.19,,,,,,,,,,,0.11,,,,,,,,
1565843533000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,
1565911450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,
1565978340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
1566044959000,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1566179461000,,,,,0.20,,,,,,,,,0.07,,,,,0.08,,,,,,,,,,,0.46,,,,,,,,
1566246801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,
1566314677000,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
1566381517000,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,
1566448943000,,,,,0.40,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,
1566516026000,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
1566649948000,,,,,0.25,,,,,,,,,,,,0.17,,,,,,,,,,,,,0.55,,,,,,,,
1566717936000,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,0.04,,,,,,,,
1566784085000,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,0.16,,,,,,,,
1566851133000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,
1566920101000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.00
1566986635000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,
1567054177000,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,0.18,,,,,,,,
1567120257000,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,0.06,,,,,,,,
1567187642000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,
1567255013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,
1567321929000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.07,,,,,,,,
1567389294000,,,,,,,,,,,,,,0.07,,,0.08,,,,,,,,,,,,,0.22,,,,,,,,
1567457291000,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,0.08,,,,,,,,
1567524520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,
1567591445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1567658685000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
1567794373000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,
1567860872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,
1567928417000,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,
