timestamp,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xf19e7b06a1C72c84c5B9ADEE76E9ca1CeD2c31E5,​0x9Ee1830ff376758c5Ecc7FB465f3b14d64116d71,​0xe4e9Bb2c6aabCAe687352Ba00214771dcd538A35,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xaf9c8610DA451b557048F2833189F8118B42B7DC,​0x035ec1430Ca12145343dC226D27BaFc624A82395,​0x51A7EaD10340AF963C3124b026b86dd2807c2b1C,​0xDe145F934f7E0F30f412a33a69CD089f57CeC3b8,​0x7cfab87AaC0899c093235b342AC0e5B1ACF159EB,​0x65F5cB909f1BCC3Ff21AB88D9eF8e2fF848C03E4,​0xF2181396f9fd91421D9bD5E0e6DBEcADC3458393,​0xD4e6fd78c21085d01DBd596d287360d746Acf4d8,​0x2bbb52927C31a50934af437D1ED7325Ea26dE4Fc,​0xc2351c961181eCD4e682857224E873ebbf956FDe,​0xe6C58978D013B757eB315BD6fd776bEe2ee2b63c,​0x8b941bA67C0cFF1489A34e83230595C0cd2AD3bC,​0xC6a82e72156A11a2E1634633aF5E4517B451f0D9,​0x84443F61efc60D10DA9F9a2398980CD5748394BB,​0x97deC872013f6B5fB443861090ad931542878126,​0xb682fD6a16C409594bc49c7874E4cA383033d7a5,​0x16f0A28F9A7874207dde61895bFeAC49a34915Be,​0x0492b9170EC01D91f3aa721FF8AdA42dd33FBBb8,​0x741B4E7eB09E7fACCfA68801Db02Ed4e8F17C202,​0xC29969B398Ff2A42e0280e783B83Be3557c38b1e,​0x4F532e0ae9954A85E5396F3E8d1876556317bFBA,​0x7671f9c37bFCee829f54D4Bdd2a226930c91Df7B,​0x387ca78a5edf943d267b9248CCe1B0FDB67d0029,​0x9f62d05994Eb6CF29f00fB1A5bCaD1BD01006Bad,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0x08204aB398De6A93ec680E3F8d653475D8Cb0E1f,Other
1575749392000,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575826602000,0.00,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,2.01,,,,
1575903384000,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,
1575979374000,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576056123000,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576132843000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1576208669000,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576288118000,,,,,0.23,,,,,,,,,,,,,,,0.70,0.05,,,,,,,,,,,
1576372313000,,,,,0.01,,,,,,,0.45,,,,,,,,,,,,,0.14,,,,,,,
1576541361000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,
1576627001000,,,,,2.88,,,,,,,,,,,,,,1.89,,2.16,,,,1.71,,,,,,,
1576713534000,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,2.00,,,,
1576799699000,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,,,,,,
1577057861000,,,,,0.12,,,,,,,,,,,,,,3.13,,,,,,0.25,,,,,,,
1577143907000,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,
1577402327000,,,,,0.08,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,
1577488582000,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577832303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,
1577918935000,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578063677000,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578129566000,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578195701000,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,
1578261907000,,,,1.20,,,,,,,1.00,,,,,,,,1.72,,,,,,,,,,,,,
1578327837000,,,,2.00,0.04,,,,,,,,,,,,,,3.10,,,,,,,,,,,,,
1578459841000,,,,,0.52,,,,,,,,,,,,0.51,,1.03,,,,,,,,,,,,,
1578526345000,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578658814000,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578923015000,,,,,,,,,,,,,,,,,,,,1.34,,,,,,1.06,,,,,,
1579055596000,,,,,,,,,,,,,,,,,0.52,,3.90,,,,,,,0.52,,,,,,
1579122050000,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579188604000,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,,,,,
1579254375000,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,
1579584998000,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579783170000,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579848954000,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
1579915579000,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,
1580114658000,,,,,4.88,,,,,,,,,,,,,6.78,,,,,,,,,,,,,,
1580247630000,,,,,0.07,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,
1580313366000,,,,,,,,,,,,,,,0.79,,,,0.81,,,,,,,,,,,,,
1580380051000,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580446477000,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,
1580512997000,,,,,1.26,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,
1580711822000,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580778615000,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,0.87,,,,,
1580844182000,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,
1580977343000,,,,,,2.64,,,,,,,,,,,,,3.16,,0.39,,,,,,,,,,,
1581110121000,,,,,,,,,,,,,,,1.10,,,,,,,,,,0.71,,,,,,,
1581177428000,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,
1581243665000,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581310184000,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,
1581375300000,,,,,1.98,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,
1581441429000,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,
1581508790000,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,1.24,,,,,,,0.29,,,,,0.63,
1581641265000,,,,,,,,,,,,,,,,,,0.86,,,,,,0.52,,,,,,,,
1581774043000,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,
1581841298000,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581907086000,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582040665000,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582106715000,,,,,0.01,,,,,,,,,,,,,,1.13,,,,,0.28,,,,,,,,
1582240159000,,,,,1.12,,,,0.43,,,,,,,,,0.56,,,,,,,,,,,,,,
1582439543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1582505376000,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582571821000,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582705647000,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582771019000,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583103301000,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583168974000,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,
1583235956000,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,
1583567810000,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,
1583699841000,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583767163000,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583966404000,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584033400000,,,,,1.81,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,
1584100621000,,,,,0.34,,,,,,,,,,,,,,,1.70,,,,,,,,,,0.91,,
1584168330000,,,,,0.31,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,
1584234522000,,,,,0.04,,,,,,,,,,,,,,,3.92,,,,,,,,,,,,
1584300469000,,,,,,,,,,0.49,,,,,,,0.98,,,,,,,,,,,,,,,
1584367227000,,,,,,,,,,,,,,,,,,,,3.89,,,,,,,,,,,,
1584699859000,,,,,,,4.10,,,,,,,,,,,,,,,,,,,0.55,,,,,,
1584833664000,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,
1584902413000,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,
1584970249000,,,,,,,,,,,,,,,,,,,,2.44,,,,,,0.53,,,,,,
1585105600000,,,,,,,1.54,,,,,,,,,,,,,,,,0.50,,,,,,,,,
1585173391000,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,
1585239172000,,,,,,,,,,,1.84,,,,,,,,,0.91,,,,,,,,,,,,
1585372283000,,,,,,,,,,,,,,,,,,,,1.10,,,,,,,,,,,,
1585438491000,,,,,,0.05,,,,,,,,,,,,,,0.88,,,,,,,,,,,,
1585836257000,,,,,0.00,,,,,,,,,,,,,,,0.90,,,,,,,,,,,,
1585903293000,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,
1586036191000,,,,,,,,,,,,,,,,,,,,1.00,,,,,,0.50,,,,,,
1586102872000,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,
1586169028000,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,
1586236183000,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,
1586434964000,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,
1586701369000,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,
1586833705000,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,
1587099968000,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,
1587167698000,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,
1587568237000,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,
1587634602000,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,
1587701744000,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,
1588237076000,,,,,,,,,0.46,,,,,1.46,,,,,,,,,,,,,,,,,,
1588305064000,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,
1589107927000,,,,,,,,,,,,,,,,,,,0.70,0.09,,,,,,,,,,,,
1589174391000,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,
1589241093000,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,
1589375621000,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
1589509055000,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589711000000,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,
1589845567000,,,,,,,,,,,,,,,,,,,,,,0.60,,,,,,,,,,
1590383553000,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
1590652494000,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
1590853669000,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,
1590919824000,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,
1591122115000,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,
1591189759000,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
1591926628000,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,
1591993124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,
1592995513000,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,
1593464751000,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,
1593732971000,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1594199176000,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,
1594266589000,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,
