timestamp,​0x84A4c55297f8C4d6a91cFf1147F9A13B44928a5b,​0x9fA3cC07d724501cF6CeEBE28D9639939f1804a9,​0xfb3e0D5aEEc0fAD1B83ce8601792677d251B5b12,​0xC3ff656919Dc2e9D90b492cF8f06eB1cFf25Df15,​0x4676a9576315287659d0f9902D288bdfe49604ab,​0x3365489c99a10E333d471fB69780a690665EC896,​0x2F5B009d42917452f4F057B0998DfaD4d84C7662,​0xfC7F623Bc12DBEb984A9D618e9B07693fF35283f,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x84D62A75fF6D3C3DeF8587A4ed50738efebf8a12,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xA9333685543E62176A091A86574e0ca3aCd30d7d,​0xc385FAb6554b51c8E87020ABBe8D7bA4507dD1F5,​0x5d1EE9f2A17ACcf72532Dd17ad36F0B8909a38CA,​0x71685158f300b30Ecf564870ea3F8c35abA5bc77,​0xF5480EC9c583fEF92Af49a702204cA9cBd4A4CF2,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x4Fe95C36bB9B3A81F278569525162f91615E77d7,​0x9A9A9B371dC9631B2B325f37ff76Fa4DabdE4A71,​0xdf388A9338AA924587BF91437760F02ecF425cbF,​0xE5E4188f3aCA617aE0c40634bDf168da328a838F,​0xFAB3DFa4188794cd81A5Fdc118B6B5CA874b24ab,​0xDa28Ca49A432F74517D23Ecd2821270bA49418b8,​0x943AaC88003Eb0deE7c1907CFA294dfb7fD2Dd2f,​0x2DCDf77e4F12BFb9E153833D0F69c55061282Ae5,​0xFC98B63d14D52fC2EFBf4003B44683434953FDc5,​0xa7329fD51B2dC832f92A1Ec5e05CC35D4d1a095e,​0xaDC514b090c4d4c1355051Bc9Bf414573d5A60a1,​0xF4DDf881f1F2a98A33791cCae1D0A9dE9D583490,​0x3b0535C602078a22A9954209B3556549C4E5E987,​0x802589926e65E35db2938Ff1783C1D1b392bf38f,​0xdE7670354fE2110fbF3A2ca269096647fc955924,Other
1564637313000,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.01
1564705696000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1564772699000,,,,,,,0.00,,,,,,,,,,,,,,0.02,,,,,,,,,,,,
1564839134000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1564905518000,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1564972688000,,,,,,,0.02,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.01
1565039690000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1565106699000,,,,,,,0.00,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1565241308000,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,0.00
1565308246000,,,,,0.00,,0.12,,,,,,,,0.01,,,,,0.07,,,,,,,,,,,,,0.05
1565375748000,,,,,,,0.07,,,,,,,,0.00,,,,,0.04,0.04,,,,,,,,,,,,
1565441736000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1565509207000,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1565576260000,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00
1565643196000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1565710691000,,,,,,,0.00,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
1565843533000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1565911450000,,,,,,,0.01,,,,,,,,0.00,,,,,,,,,,,,,,,,,,
1565978340000,,,,,,,0.03,,,,,,,,0.00,,,,,,0.01,,,0.01,,,,,,,,,
1566044959000,,,,,,,0.04,,,,,,,,0.00,,,,,,,,,,,,,,,,,,
1566113085000,,,,,,,0.01,,,,0.27,,,,,,,,,,,,,,,,,,,,,,
1566179461000,,,,,,,,,,0.02,,,,,,,,,,0.07,,,,,,,,,,,,,
1566246801000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1566314677000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1566516026000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.23,,,,,,,
1566583035000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1566649948000,,,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
1566784085000,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
1566986635000,,,,,,,0.01,,0.04,,,,,,,,,1.00,,0.03,,,,,,,,,,,,,
1567054177000,0.36,,,,,,,0.42,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,
1567120257000,0.30,,,,,,0.03,,,,,,0.53,,,,,0.35,,0.01,,,,,,,,0.94,,,0.05,,
1567187642000,,,,,,,0.03,,,,,,,,0.00,,,0.51,,,0.01,0.44,,,,,,,,,,,
1567255013000,,,,,,,0.03,,,,,,,,,,,0.44,,0.05,,0.35,,,0.70,,,,,,,,
1567321929000,,,,,,,0.03,,,,,,,,0.00,,,0.40,,0.01,,0.32,,,,,,,,,,,
1567457291000,,,,,,,0.01,,,,,,,,,,,0.37,,,,0.33,,,,,,,,0.17,,,0.03
1567524520000,,,,,,0.11,0.02,,,0.11,,,,,,,,,,0.03,,0.40,,,0.10,,,,,,,,
1567591445000,,,,,,,0.04,,,,,,,,,,,,,0.03,,0.28,,,,,,,,,,,0.01
1567658685000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,
1567726271000,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,
1567794373000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,0.35,,,0.00
1567860872000,,,,,,,,,0.07,,,,,,,,,,,,0.06,,,,0.47,,,2.19,1.79,,,,
1567928417000,,,,,,,,0.45,,,,,,,,,,,,,,1.27,,,,,,,,,,,0.00
1567996252000,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568063465000,,0.40,,,,,0.33,,,,,,,,,,,,,,,0.24,,,,,,1.32,2.46,,,,
1568130759000,,0.68,,,,,0.06,,0.04,,,,,,,,,,,,0.25,,,,,,,0.94,,,,,
1568266003000,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,
1568332434000,,0.53,,,,,0.13,0.28,,,,,,,,,,,,,,,,,0.65,,,,,,,,
1568400865000,,0.13,,,,,0.03,,,,,,,,0.06,,,,0.39,0.09,,,,,,,,,,,,,
1568467502000,,0.15,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.29,,,,,
1568535532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,
1568603177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,
1568669970000,,0.38,,,,,,0.13,,,,,,,,,,,,,,,,,,,,0.72,0.50,,,,
1568737700000,,0.27,,,,,0.51,0.30,,,,,,,,,,,,0.08,,,,,,,,,,,,,
1568803850000,,0.13,,,,,0.33,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
1568871705000,,0.16,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,0.10,,,,
1569006694000,,0.13,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,0.50,,,,
1569074199000,,,,,,,0.31,,,,,,,,,,,,,,0.06,,,,,,,,0.10,,,,0.01
1569142150000,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,
1569276280000,,0.15,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,0.20,,,,
1569344903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,
1569412741000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,
1569480328000,,,,,,,0.06,0.34,,,,,,,,,,,,,,,,,0.51,,,0.55,,,,,
1569548219000,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,
1569615424000,,0.13,,,,,,0.12,,,,,,,,,,,,,,0.47,,,0.30,,,1.29,,,,,
1569683184000,,0.23,,,,,,0.42,0.04,,,,,,,,,,,,,,,,0.54,,,1.02,,,,,
1569751196000,,,,,,,0.03,0.31,,,,,,,,,,,,,,,,,0.30,,,0.62,,,,,
1569953471000,,,,,,,,0.79,,,,,,,,,,,,,0.91,,,,,,,0.32,,,,,
1570021093000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1570088581000,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
1570290984000,,0.90,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.90,,,
1570424401000,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570560314000,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1570628456000,,,,,,,0.01,0.13,,,,,,,,,,,,,,,,,0.33,,,0.42,0.03,,,,
1571036079000,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571103316000,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02
1571171084000,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,0.23,0.16,,,,
1571239896000,,,,,,,0.02,0.13,,,,,,,,,,,,,,0.25,,,,,,,,,,,
1571307873000,,0.34,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,
1571376291000,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,
1571444011000,,0.24,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1571512073000,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,0.14,,,,,,
1571579975000,,0.14,,,,,,0.37,,,,,,,,,,,,,,,,,,,,0.59,0.10,,,,
1571648150000,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,0.00
1571716619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,
1571851268000,,0.31,,,,,,0.19,,,,,,,,,,,,,,0.57,,,,,,,,,,,
1571920923000,,0.09,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.53,,,,,
1572129485000,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,0.42,,,,,
1572198558000,,,,,,,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
1572337649000,,0.47,,,1.18,,0.16,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
1572406531000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1572476793000,,,,,,,0.05,,,,,,,,,,,,,0.11,,,,,,,,,,,,,
1572546064000,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,
1572615810000,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1572684939000,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
1572822749000,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,
1572893104000,,0.10,,,,,0.15,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
1572962724000,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,
1573031855000,,0.10,,,,,0.23,,,,,,,,,,,,,0.08,,,,,,,,,,,,,
1573598526000,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
1573886613000,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
1574102523000,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
1574175364000,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
1574248216000,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1574906610000,,,,,,,0.07,,,,,,,,,,,,,,,,,0.11,,,,,,,,,
1575673602000,,,,,0.01,,0.39,,,,,0.13,,0.02,,,,,,0.02,,,,,,,,,,,,,
1575826602000,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575979374000,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,
1576132843000,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
1576288118000,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
1576372313000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1576799699000,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1576886273000,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,
1577057861000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577315631000,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
1577488582000,,,,,,,0.19,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
1578195701000,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
1578658814000,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1578857025000,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,
1578989540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1579055596000,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
1579254375000,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579650516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1579848954000,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
1580512997000,,,,,,,0.10,,,,,,,,,,,,,,,,,,0.08,,,,,,,,
1580778615000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
1580844182000,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580910496000,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,
1581110121000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
1581243665000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
1581441429000,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,
1581508790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581707956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,
1581774043000,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
1581841298000,,,,0.08,,,,,,,,,,,,0.10,,,,,,,,,,0.07,,,,,,,0.23
1581907086000,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,
