timestamp,​0x6bFa119a191576Ba26Bc5e711432aCA0cFda04DE,​0xdc6B04B4e40fDe7c0e9ee1171F913FebDbB4b88B,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0xc198708b7DE4073eC1e6b34942A84f8BA2E4A014,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xF996D7d9BaCb9217ca64BBce1b1cD72E0E886Be6,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0x97deC872013f6B5fB443861090ad931542878126,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,Other
1580313366000,,,,0.08,,,,,,,,,,,,,,0.29,
1580380051000,,,,,,,,,,,,,,0.17,,,,0.09,0.01
1580446477000,,,,,,,,,,0.08,,,,,,,,0.58,
1580512997000,,,,,,,,,,0.30,,,,,,,,0.13,0.00
1580579921000,,,,,,,,,,,,,,,,,,0.12,
1580645575000,,,,,,,,,,,,,,,,,,0.39,0.02
1580711822000,,,,,,,,,,,,,,,,,0.10,0.26,0.02
1580778615000,,,,,,,,,,,,,,0.11,,,0.09,0.10,
1580844182000,,,,,,,,,,0.06,,,,0.21,,,,0.10,
1580910496000,,,,,,,,,,,,,,,,,,0.50,
1580977343000,,,,,,,,,,,,,,0.12,,,,0.65,
1581043789000,,,,,,,,,,,,,,0.20,,,,0.65,0.01
1581110121000,,,,,,,,,,,,,,,,,,0.13,
1581177428000,0.07,0.18,,,,,,,,,,,,,,,0.22,0.24,
1581243665000,,,,,,,,,,,,,,,,,,0.17,0.01
1581310184000,,,,,,,,,,,,,,0.19,,,,,
1581375300000,,,,,,,,,,,,,,,,,0.20,0.10,
1581441429000,,,0.07,,,,,,,,,,,,,,,0.54,
1581508790000,,,,,,,,,,,,,,,,,,0.73,
1581574720000,,,,,,,,,,0.08,,,,0.12,,,0.10,0.82,
1581641265000,,,,,,,,,,0.15,,,,0.09,,,0.29,0.38,
1581707956000,,,,,,,,,,,,,,0.17,,,,0.72,0.01
1581774043000,,,,,,,,,,,,,,0.12,,,,0.08,0.01
1581841298000,,,,,,,,,,0.42,,,,0.35,,,,0.51,
1581907086000,,,,,,,,,,0.51,,,,0.61,,,,0.60,
1581973926000,,,,,,,,0.17,,0.17,,,,0.10,,,,0.55,
1582040665000,,,,,,,,,,,,,,0.23,,,,0.62,
1582106715000,,,,,,,,0.08,,,,,,0.16,,,,0.49,0.01
1582173039000,,,0.17,,,,,,,0.18,,,,0.25,,,,,
1582240159000,,,,,,,,,,0.27,,,,0.12,,,,0.31,
1582306851000,,,,,,,,,,,,,,,,,,0.20,
1582372667000,,,,,,,,,,,,,,0.18,,,,,
1582439543000,,,,,,,,,,,,,,,,,,0.27,
1582505376000,,,,,,,,,,,,,,,,,,0.27,
1582571821000,,,,,,,,0.26,,,,,,0.28,,,,0.11,
1582705647000,,,,,,,,0.73,,,,,,,,,,,
1582771019000,,,,,,,,0.93,,,,,,,,,0.10,0.12,
1582837876000,,,,,,,,,,,,,,,,,,0.67,
1582904573000,,,,,,,,0.23,,,,,,,,0.25,0.34,0.37,
1582970808000,,,,,,,,,,,,,,,,,0.20,0.40,
1583036689000,,,,,,,,0.16,,,,,,,,0.10,,0.09,
1583103301000,,,,,,,,0.31,,,,,,,,,0.10,0.10,
1583168974000,,,,,,,,,,,,,,,,,,0.55,
1583235956000,,,,,,,,,,,,,,0.10,,,,0.11,
1583302077000,,,,,,,,,,0.11,,,,,,,0.12,0.08,
1583368317000,,,,,,,,,,,,,,,,,0.13,0.09,0.02
1583435384000,,,,,,,,,,,,,,,,,,0.22,
1583502285000,,,,,,,,,,,,,,,,,0.09,0.34,0.02
1583567810000,,,,,,,,,,,,,,,,,,0.19,
1583633541000,,,,,,,,0.42,,,,,,,,,0.12,0.20,
1583699841000,,,,,,,,0.18,,0.23,,,0.04,0.11,,,0.75,0.56,
1583767163000,,,,,,,,0.39,,,,,,0.13,,,0.43,0.37,
1583833348000,,,,,,,,0.27,,,,,,,,,0.12,0.29,
1583900197000,,,,,,,,,,,,,,,,,0.12,0.20,
1583966404000,,,,,,,,0.38,,,,,,,,0.10,0.26,0.22,
1584033400000,,,,,,,,2.83,,,,,,,,,0.10,0.08,
1584100621000,0.53,,,,,,,1.09,,,,,,,,,0.34,0.74,
1584168330000,,,,,,0.35,0.36,0.13,,,,,,,0.45,,1.60,2.33,
1584234522000,,,,,,,,0.40,,,,,,,,,,,
1584699859000,,,,,,,,0.22,,,,,0.26,,,,0.58,2.61,
1584766483000,,,,,,,,0.18,,,,,,,,0.18,2.83,2.07,
1584833664000,,,,,,,,0.13,,,,,,,,,0.88,1.05,
1584902413000,,,,,,,,0.45,,,,,,,,,0.46,0.27,
1584970249000,,,,,,,,,,,,,,,,,,0.53,
1585036977000,,,,,,,,,,,,,,,,,0.30,0.68,
1585105600000,,,,,,,,,,,,,,,,,0.48,0.58,
1585173391000,,,,,,,,0.26,,,,,,,,,0.17,0.30,
1585306138000,,,,,,,,0.12,,,,,,,,,0.09,0.34,
1585372283000,,,,,,,,0.75,,,,,,,,,0.08,,
1585438491000,,,,,,,,,,,,,,,,0.07,,0.34,0.01
1585504149000,,,,,,,,0.09,,,,,,,,,0.11,,
1585571105000,,,,,,,,0.24,,,,,,0.81,,,,1.41,
1585637238000,,,,,,,,0.14,,,,,,,,,,0.11,
1585704243000,,,,,,,,0.10,,,,,,,,,0.10,0.10,
1585770840000,,,,,,,,,,,,,,,,,0.27,0.10,
1585836257000,,,,,,,,,,,,,,,,,,0.64,
1585903293000,,,,,,,,,,,,,,,,,0.46,1.07,
1585969610000,,,,,,,,,,,,,,,,,0.50,0.34,
1586036191000,,,,,,,,,,,,,,,,,0.10,0.21,
1586169028000,,,,,,,,,,,,,,,,,0.09,0.84,
1586236183000,,,,,,,,,,,,,,,,,0.29,1.47,
1586301955000,,,,,,,,0.20,,,,,,,,,0.55,0.47,
1586368858000,,,,,,,,,,,,,,,,,0.41,0.49,
1586434964000,,,,,,,,,,,,,,,,,0.22,0.22,
1586501245000,,,,,,,,,,,,,,,,,0.34,0.12,
1586568529000,,,,,,,,0.61,,,,,,,,,,0.23,
1586635021000,,,,,,,,,,,,,,,,,0.20,0.09,
1586701369000,,,,,,,,,,,,,,,,,0.27,0.41,
1586767741000,,,,,,,,0.21,,,0.44,,,,,,0.54,0.32,
1586833705000,,,,,,,,,,,,,,,,,0.13,0.39,
1586900049000,,,,,,,,,,,,,,,,,,0.17,
1586966921000,,,,,,,,0.11,,,,,,,,,0.10,0.12,
1587033174000,,,,,,,,0.32,,,,,,,,0.09,,1.15,
1587099968000,,,,,,,,,,,,,,,,,,0.20,
1587167698000,,,,,,,,0.12,,,,,,,,,,0.10,
1587234387000,,,,,,,,,,,,,,,,,,0.67,
1587300847000,,,,,,,,,,,,,,,,,0.30,0.26,
1587368133000,,,,,,,,,,,,,,,,,0.25,0.21,
1587434258000,,,,0.31,,,,0.13,,,,,,,,,0.20,,
1587501138000,,,,0.13,,,,,,,,,,,,,,0.16,
1587568237000,,,,,,,,,,,,,,,,,,0.55,
1587634602000,,,,,,,,,,,,,,,,,0.15,0.12,
1587701744000,,,,0.12,,,,0.10,,,,,,,,,,0.55,
1587836062000,,,,,,,,,,,,,,,,,,0.31,
1587902337000,,,,,,,,,,,,,,,,,,0.15,
1588036978000,,,,,,,,0.13,,,,,,,,,,0.14,
1588170340000,,,,,,,,,,,,,,,,,,0.63,
1588237076000,,,,,,,,,,,,,,,,,,0.63,
1588305064000,,,,,,,,,,,,,,,,,0.64,,
1588371539000,,,,0.13,,,,,,,,,,,,,,0.15,
1588438821000,,,,,,,,,,,,,,,,,,0.11,
1588506516000,,,,,,,,,,,,,,,,,0.16,0.29,
1588572377000,,,,0.26,,,,,,,,,,,,,0.55,0.10,
1588638430000,,,,,,,,,,,,,,,,,,0.31,
1588705743000,,,,,,,,,,,,,,,,,0.27,0.16,
1588771981000,,,,,,,,,,,,,,,,,,0.18,
1588839881000,,,,,,,,,,,,,,,,,0.25,0.22,
1588906152000,,,,,,,,,,,,,,,,,,0.26,
1589107927000,,,,,,,,0.67,,0.32,,,,,,,,,
1589442351000,,,,,,,,,,,,,,,,,,0.23,
1589509055000,,,,,,,,0.31,,,,,,,,,,0.66,
1589576701000,,,,,,,,0.16,,,,,,,,,0.25,,
1589644333000,,,,,,,,,,,,,,,,,,0.15,
1589711000000,,,,,,,,,,,,,,,,,,0.18,
1589778055000,,,,,,,,,,,,,,,,,,0.34,
1589845567000,,,,,,,,,,,,,,,,,,0.26,
1589913105000,,,,,,,,,,,,,,,,,,,0.01
1590047677000,,,,,,,,,,0.26,,,,,,,,,
1590113970000,,,,,,,,,,,,,,,,,0.46,,
1590181994000,,,,,,,,,,,,,,,,,,0.33,
1590248502000,,,,,,,,,,,,,,,,,0.20,0.21,
1590383553000,,,,,,,,0.24,,,,,,,,,,,
1590584981000,,,,,,,,,0.19,,,,,,,,,,
1590719602000,,,,,,,,,0.32,,,,,,,,,0.31,
1590853669000,,,,,,,,,,,,,,,,,,0.61,
1590919824000,,,,,,,,,,,,,,,,,,0.24,
1590987649000,,0.07,,,,,,,,,,,,0.26,,,,,
1591054955000,,,,,,,,,,,,,,,,,,0.26,
1591122115000,,,,,,,,,0.20,,,,,,,,0.48,,
1591256276000,,,,,,,,,,,,,,,,,,0.23,
1591457899000,,,,,,,,,,,,,,,,,,,0.00
1591926628000,,,,,,,,0.38,,,,,,,,,,,
1592126059000,,,,,,,,,,,,,,,,,,0.22,
1592193218000,,,,,,,,0.32,,0.18,,,,,,,,,
1592259061000,,,,,,,,,,,,,,,,,,0.30,
1592594022000,,,,,,,,,,0.12,,,,,,,,,
1592861502000,,,,,,,,,,,,,,,,,,0.35,
1592995513000,,,,,,,,,,,,,,,,,,0.29,
1593062546000,,,,,,,,0.38,,,,,,,,,,,
1593128647000,,,,,,,,,,0.21,,,,,,,,,
1593330837000,,,,,,,,0.25,,,,,,,,,,,
1595202619000,,,,,,,,,,,,,,,,,,0.43,
1595405073000,,,,,,,,,,,,,,,,,,0.42,
1595471028000,,,,,,,,,,,,,,,,,,0.50,
1595537940000,,,,,,,,,,,,,,,,,,0.49,
