timestamp,​0x5e58dDa796c8A6Ae08a55497B57C68262979Ec5E,​0xB4DaB4c25687AF9365363017f50dB19b59946918,​0x0b4523368EF3B690F7f77D574c34304218F4602B,​0xe4e9Bb2c6aabCAe687352Ba00214771dcd538A35,​0x9FEBdB70d953275A80231294A0e9f488AcF043eB,​0x4677C06757a2059c7b750fd5b59c2E65Bf1851B3,​0x2bbb52927C31a50934af437D1ED7325Ea26dE4Fc,​0xf0bBbEe03f89d344B9C385a822016Ec22C84f1e6,​0x9ca72d50650a0254238f4F0AfAA8f05F18BEB632,​0x9016aA99b98128ba990097eA3F3D60b5e40775e4,​0x9Ee1830ff376758c5Ecc7FB465f3b14d64116d71,​0x82Ab99aDD996028Ad6308A9aecD89C1EF3B715d2,​0x0E71F7a6bBAE357A1Cd364173aE69D3fb2e539e3,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,​0x52cA93AFcC8bA54f7e5c08dC7371A2C51Bd55df6,​0x0777d013EFD2B99dEdf4849D0E25424384789155,​0x1A718e7127d4e0840f87bd80211D7ce6d7EBFB16,​0xBB63758fbbaE0D96b2da118972838d286Bf456b0,​0xDD0Ae472337D8b3E63a60FceD8ae4BE36093598f,​0xB400b653901C4ca3465D58980bc469960a0eFde9,​0xfDCfc1188005779Ad1c70a0560Fd5bBADafFEbf5,​0x97deC872013f6B5fB443861090ad931542878126,​0xa5F94aC4202315d2186afc725fF380F283A06080,​0x1Bdc18d53CA882B97196828E131548700ea81a88,​0xaf9c8610DA451b557048F2833189F8118B42B7DC,​0xB6b91942b2852e11963b1F6f1A3D03c59D1DE8d4,​0xFd15b64666B36B789e6770f546e0ad045e1214eA,​0x58e11792D0637540ab1f430E4659693659Ea2734,​0xA5d8C45538cCBB2d73d3E11Cb0DE20b29BF0Eee3,​0x37860b28F8cBd4B0cbED92e1416237981D7557E8,​0xD0be2821cd565afAd204cA058b61bB3829b786A0,​0x552dc40FdCdf5f81c0a5FCB704AC490BA7571C05,​0x781b6EecE2E7ba81cc8782956FfB7C286107cDE9,​0x56aFFa87c32a40401dffA6B3822651D5F01216B6,​0xA238819a0ccA2dEaB598724F172810e9eBD052c7,Other
1594067228000,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,
1594400599000,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,0.23,,
1594667176000,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,
1594734577000,,,,,,,,,,,,,,,,,,,,,,,0.84,0.23,,,,,,,,,,,,,
1595068938000,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,0.36,,,,,
1595202619000,,,,0.75,,,,,,,,,,,,,,,,,,,,0.26,,,,,0.25,,,,,,,,
1595270294000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,
1595405073000,,,,,,,,,,,,,0.37,,,,,,,,,,0.19,,,,,,,,1.83,,,,,0.23,
1595471028000,,,,,,,0.42,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,
1595604570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,
1595872747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,
1596207016000,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596339947000,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,
1596406368000,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596606713000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,
1596674074000,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596740019000,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,
1597472334000,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,
1597939059000,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,
1598271030000,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,
1599395453000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,
1599461746000,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,
1599661253000,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599793183000,,,,,,,,,,,,,,,,,,,,,,0.70,,,,,,,,,,,,,,,
1600057881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,
1600456406000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,
1600522839000,,,,,0.82,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,
1600589122000,,,,,,,,,,,,,0.72,,,,,,,,,,1.11,,,,,,,,,,,,,,
1600719844000,,,,,,,,,,,,,,,,,,,,,,,1.53,,,,,,0.49,,,,,,,,
1600986137000,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,0.32,,,,,,,,
1601187908000,,,,,,,,,,,,0.66,,,,,,,0.34,,,,,,,,,,,,,,,,,,
1601255204000,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,
1601525869000,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,
1601592730000,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,
1601863935000,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
1602065856000,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,
1602270387000,0.33,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,
1602403481000,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603329593000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,
1603395740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,
1603528247000,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,
1603661160000,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603728251000,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603860005000,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,
1603925650000,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,
1604655075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,
1604788406000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,
