timestamp,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xe4A9E7A1C7E952Fc1a99B6B720fa45Aa66fde9aC,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x7A5D9a7f86147106bc9caf15A64Db5dEE850D28C,​0x8A47883B2C6412C0F599CF2d3a84d7d724370721,​0x56Bd39e87582661a440D7303E6Da614773CD9E94,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x1521876cd8d7e96ca113EB8EEDae6Ed1316191fE,​0x01CB79FA313DE1600F8C5034546CD088E778f0d8,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x749572A17718B4E8D6d25A5A8F169378E63b2E59,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xE9464Fde8B6608DFa65d19d9226444A9F3B03268,​0xD726B24E5b60B01531Da4E2F7b990F7ae96DCf68,​0x87a14e3D1970F2184C2A726841Ef0BCa64eeB075,​0x157255F0459e61001efE576378bC0eDE59AFEb04,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x20f7a68c098dC65C6687f8a16d019F6929a9757A,​0x928b648206005Ac519bB82BA9f6ddDAE6E277197,​0x56fd4daeEF43ACc717f021f9379BDf5432134FFF,​0x9fF75F4a5190EEa5C9db3983d12AE094E544042D,​0x9E48FF7BBee16E9195C4A925076baF75551A24b1,​0x8D3a7a7fa32DC424BA70C895023DC19f8c65ab42,​0xA9ffbF13aC3FD7f1E5E72670F9F6039BB0fb8Ede,​0x18C63Dea648E25447885f0F40F0d31c732Cc09c4,​0x8B5cC67c4dA77E95f7de8B98d47B6C666B0Cba4c,Other
1577143907000,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.17,,,,0.01
1577229621000,,,,,,,,0.01,,,,,,,,,,,,,,,,0.05,0.07,,,,
1577315631000,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
1577402327000,0.00,,,,,,,,,,,,,,,,,,,,,,,0.07,0.08,,,,0.04
1577488582000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.02
1577573599000,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.01,,0.02,0.03
1577659927000,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.06
1577746179000,0.00,,,,,,,4.39,,7.40,,,4.27,0.01,,,,,,,,,,,,,,,0.02
1577832303000,,,,,,,,0.01,,0.00,,,,,,,,,,,,,,,0.04,,,,
1577918935000,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
1577997589000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,
1578063677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
1578129566000,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.03,,,,
1578393679000,0.01,,,,,,0.02,0.01,,,,,,,,,,0.02,,,,,,,0.12,,,,0.07
1578459841000,0.00,,,,,,0.03,,,,,,,,,,,,,,,,,,0.08,0.02,,,0.08
1578526345000,0.00,,,,,,0.02,0.06,,,,,,,,,,,,,,,,,0.04,,,,0.19
1578592894000,0.01,,,,,,,0.03,,,,,,,,,,0.07,,,,,,0.00,,,,,0.03
1578658814000,0.03,,,,,,0.06,,,,,,,,,,,0.08,,,,,,,,,,,0.05
1578724741000,0.07,0.01,,,,,0.05,0.03,,,,,,,,,,0.16,,,,,,,0.10,,,,0.01
1578790822000,0.02,,,,,,0.02,,,,,,,,,,,0.04,,,,,,,0.04,,,0.00,0.00
1578857025000,0.00,,,0.03,,,0.03,0.02,,,,,,,,,,0.03,,,,,,,0.10,,,,
1578923015000,0.01,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,0.01
1578989540000,0.05,,,0.03,,,0.03,0.02,,,,,,,,,,0.07,,,,,,,0.07,,,,
1579055596000,0.02,,,,,,0.02,0.01,,,,,,,,,,0.10,,,,,,,0.08,,,,
1579122050000,0.02,,,,,,0.00,,,,,,,,,,,0.03,,,,,,,0.05,,,,
1579188604000,0.01,,,0.00,,,0.15,,,,,,,,,,,0.13,,,,,,,0.07,,,,0.00
1579254375000,0.03,0.00,,,,,0.04,,,,,,,,,,,0.30,,,,,,,0.29,,,,
1579320115000,0.02,,,,,,0.02,,,,,,,,,,,0.30,,,,,,,0.27,,,,
1579386588000,,,,,,,0.01,0.02,,,,,,,,,,0.25,,,,,,,0.23,,,,
1579453251000,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,
1579650516000,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,
1579783170000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1579848954000,0.01,,,0.01,,,,0.00,,,,,,,,,,,,,,,,,0.03,0.00,,,
1579915579000,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,0.05,,,,0.02
1579982233000,0.01,,,,,,0.05,,,,,,,,,,,,,,,,,,0.03,,,,0.02
1580049245000,0.01,,,0.00,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,
1580114658000,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1580180893000,0.04,0.05,,,,,0.03,,,,,,,,,,,,,,,,,,0.01,,0.01,,0.00
1580247630000,0.00,0.00,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,0.00,,0.00
1580313366000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,0.01
1580380051000,0.02,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.01,0.03
1580446477000,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.00,,0.03,
1580512997000,0.07,,,,,,0.07,0.02,,,,,,,,,,,,,,,,,,0.00,,0.03,0.09
1580579921000,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,
1580645575000,0.04,,,,,,0.00,0.03,,,,,,,,,,,,,,,,,,0.00,,0.00,0.07
1580711822000,0.02,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.01,,0.01,0.01
1580778615000,0.04,,,,,,0.00,0.04,,,,,,,,,,,,,,,,,,0.03,,0.03,0.00
1580844182000,0.03,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.00,,0.03,0.04
1580910496000,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.01,,0.01,
1580977343000,0.07,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.07,
1581043789000,0.06,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,0.03,
1581110121000,0.03,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,0.03,
1581177428000,0.01,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1581243665000,0.03,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,0.03
1581310184000,0.04,,,,,,0.05,,,,,,,,,,,0.08,0.03,,,,,,,,,0.02,0.00
1581375300000,0.07,,,,,,0.04,,,,,,,,,,,0.06,,,,,,,,,,0.00,0.01
1581441429000,0.10,,0.06,,,,0.03,,,,,,,,,,,0.17,0.24,0.23,,,,,,0.01,,0.01,0.02
1581508790000,0.05,,,,,,0.02,,,,,,,,,,,,,0.00,,,,,,0.01,,0.03,0.02
1581574720000,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.01
1581641265000,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1581707956000,0.01,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.01,
1581774043000,0.01,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.01,0.01
1581841298000,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
1581907086000,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02
1581973926000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1582040665000,0.03,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.03,0.01
1582106715000,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,
1582173039000,0.02,,,,,,0.00,,,,,,,,,,,,,,,,,,,0.02,,,0.01
1582240159000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,0.00
1582306851000,0.01,,,,,,0.00,,,,,,,,,,,,,,,,,,,0.01,,,0.00
1582372667000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.00
1582439543000,,0.03,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.00
1582505376000,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.01,,,0.00
1582571821000,,,,,,,0.07,,,,,,,,,,,,,,,,,,,0.03,,,0.02
1582638796000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,0.00
1582705647000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.01,,,0.01
1582771019000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.00
1582837876000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,0.00
1582904573000,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.01,,0.01,0.01
1582970808000,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.04,,,0.01
1583036689000,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.01,,,0.01
1583103301000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,0.00
1583168974000,,,,,,,0.02,,,,,,,,,,,,0.01,,,0.00,,,,,,,0.03
1583235956000,,,,,,,0.04,,,,,,,,,,,,,,,0.00,,,,0.03,,,0.01
1583302077000,0.03,0.02,,,,,0.01,,,,,,,,,,,,,,,0.00,,,,,,,0.02
1583368317000,0.03,,,,,,0.01,,,,,,,,,,,,0.01,,,0.03,,,,,,,0.01
1583435384000,,,,,,,0.01,,,,,,,,,,,,0.00,,,,,,,,,,0.02
1583502285000,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,0.03
1583567810000,0.01,,,,,,0.02,,,,,,,,,,,,,,,0.01,,,,,,,0.03
1583633541000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02
1583699841000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01
1583767163000,,,,,,,0.02,,,,,,,,,,,,,,,0.00,,,,,,,0.02
1583833348000,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,0.03
1583900197000,,,,,,,0.01,,,,,,,,,,,,,,,0.00,,,,,,,0.02
1583966404000,,,,,,,0.03,0.00,,,,,,,,,,,,,,0.03,,,,0.02,,,0.08
1584033400000,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.01,,,0.02
1584100621000,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01
1584168330000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.01,,,0.01
1584234522000,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,0.01,,,0.02
1584300469000,,,,,,,0.02,,,,,,,,,,,,,,,0.00,,,,,,,0.03
1584367227000,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.01,,,
1584434720000,,,,,,,0.01,,,,,0.00,,,,,,,,,,,0.01,,,,,,0.01
1584500082000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.03,,,0.00
1584566455000,,,,,,,0.02,,,,,0.00,,,,,,,,,,0.01,0.06,,,0.04,,,0.03
1584632903000,,,,,,,,,,,,0.02,,,,,,,,,,,0.00,,,0.05,,,0.00
1584699859000,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,0.00,,,0.02
1584766483000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,0.00,,,0.00
1584833664000,0.01,,,,,,0.04,,,,,,,,,,,,,,,,0.02,,,0.10,,,
1584902413000,0.08,,,,,,0.01,0.01,,,,,,,,,,,,,,,0.06,,,0.06,,,0.07
1584970249000,,,,,,,0.19,,,,,0.00,,,,,,,,,,,0.00,,,0.19,,,0.01
1585036977000,0.01,,,,,,0.11,,,,,0.01,,,,,,,,,,,0.01,,,0.14,,,0.03
1585105600000,,,,,,,0.02,,,,,0.01,,,,,,,,,,,0.02,,,0.05,,,0.02
1585173391000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.00,,,0.01
1585239172000,,,,,,,0.02,,,,,0.00,,,,,,,,,,,0.00,,,0.02,,,0.00
1585306138000,,,,,,,0.01,,,,,0.01,,,,,,,,,,,0.01,,,0.04,,,0.01
1585372283000,,,,,,,0.00,,,,,0.00,,,,,,,,,,,0.01,,,0.01,,,0.01
1585438491000,,,,,,,0.01,,,,,0.00,,,,,,,,,,,0.00,,,,,,0.01
1585504149000,,0.00,,,,,,,,,,0.02,,,,,,,,,,,0.00,,,0.01,,,0.00
1585571105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585637238000,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,0.00
1585704243000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
1585770840000,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,
1585836257000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1585903293000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,0.01,,,0.00
1585969610000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.00
1586169028000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.00
1586236183000,,,,,,,0.02,,,,,0.01,,,,,,,,,,0.03,,,,,,,0.00
1586301955000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1586568529000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1586635021000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1586767741000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
1586833705000,,,,,,,0.01,,,,,0.00,,,,,,,,,,,,,,,,,0.00
1586966921000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
1587099968000,,,,,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,
1587167698000,,,,,,,0.00,,,,,,,,,,,0.01,,,,,,,,,,,0.00
1587234387000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.00,,,
1587300847000,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,0.00,,,
1587434258000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,0.00
1587501138000,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,0.01
1587634602000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
1587768625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1588036978000,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1588170340000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
1588237076000,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,0.00
1588572377000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588638430000,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,0.00
1588705743000,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,0.00
1588839881000,,,,,,,,,,,,,,,0.00,,,0.01,,,,,,,,0.01,,,0.00
1588906152000,,,,,,,,,,,,0.00,,,0.03,,,0.00,,,,,0.01,,,0.02,,,
1588972800000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,0.00
1589040204000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589107927000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.00
1589174391000,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01
1589241093000,,,,,,,0.01,,,,,0.00,,,0.02,,,,,,,,,,,,,,0.00
1589308656000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
1589375621000,,,,,,,0.00,,,,,0.01,,,,,,0.01,,,,,,,,0.00,,,0.01
1589442351000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.01
1589509055000,,,,,,,0.01,,,,,,,,0.01,0.00,,,,,,,,,,,,,
1589576701000,,,,,,,0.01,,,,,,,,0.01,0.00,,,,,,,,,,,,,0.00
1589644333000,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00
1589711000000,,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,
1589845567000,,0.01,,,,,,,,,0.01,,,,0.01,0.00,,,,,,,,,,,,,
1589913105000,0.12,,0.25,,,0.04,,0.05,,,,,,,0.14,0.19,,,,0.30,,,,,,,,,0.00
1589980117000,0.03,,,,,0.33,,,0.13,,0.03,,,,0.25,0.03,,,,,,,,,,,,,0.05
1590047677000,,,,,,,,0.03,,,0.23,,,,,0.26,,,,,,,,,,,,,
1590181994000,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.00
1590248502000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.00,,,
1590383553000,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
1590451139000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1590517845000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
1590584981000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1590652494000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,
1590786531000,,,,,,0.16,0.17,,,,,,,,,0.03,,,,,,,,,,,,,0.00
1590853669000,,,,,,0.00,0.04,,,,,,,,0.06,0.07,,,,,,,,,,,,,
1590919824000,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1590987649000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
1591054955000,,,,,,,,,0.09,,,,,,0.08,,,,,,,,,,,,,,0.04
1591256276000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
1591323776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591590964000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
1591658478000,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1591926628000,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.00,,,0.04
1592460543000,,,,,0.05,,,,,,,0.03,,,,,,,,,,,,,,,,,
1592527754000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1593062546000,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.04
1593128647000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,
1593195376000,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.11,,
1593262962000,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.04,,
