timestamp,​0xc7Ae9c694EA779a85AB9b32cadB6370a38377FAb,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x9697E724610505474936ec1382Edceb5AA52F295,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x5B55e6aEd153C7F8388E1a20F0532f69D6F4E604,​0x453993B4BD10E49cE0987E415Acd5d7Cf3B7777e,​0x2174a92437219dff0cd2d69181Fd8076Ed5f1FFf,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xc8Ce23aEb52b7A031d0591719A1DD4B0d9868984,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x14784baf252905709F8d7c72581Cd9B3EFF4E0FD,​0x622961e7F76b5E573df44AFdeB712749BbeE398D,​0xFa136a7EDd41A258BB82583f497E10E0B053A619,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x000000001e29fcd9B1469a7954DC65ff254FFfC0,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x9A5920beAbeb675be7c5b9CeDaD1c38285b0a2D9,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x8198DbB5430a27D764250a2aa4aA7451b4673733,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x34C6F95476700e4dfCdaf28b56b99bc1E24e25F7,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,Other
1562082973000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1562218341000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1562285611000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1562352854000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1562486913000,,,,,,,,,0.07,,,,,,,,,,,,,,,,,
1562553800000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1562687655000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1564705696000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1564972688000,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
1565039690000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1565241308000,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
1565643196000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1565911450000,,,,,,,,,,,0.03,,,,,,,,,,,,,,,
1566583035000,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
1566649948000,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
1566717936000,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
1566851133000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1567120257000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1569480328000,,,,,,,,,,,,,,,,,,,,,,,0.05,,,
1570156245000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1571036079000,,,,,,,,,0.10,,,,,,,,0.10,,,,,,,,,
1571239896000,,,,,,,,,0.04,,,,,,,,,,,,,,,,,
1573101222000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1573240765000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1573814675000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1574102523000,,,,,,,,,0.04,,,,,,,,,,,,,,,,,
1574175364000,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,
1574390894000,,,,,,0.03,,,0.02,,,,,,,,,,,,,,,,,
1574463158000,,,,,,0.01,,,0.04,,,,,,,,,,,,,,,,,
1574534614000,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,
1574606767000,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,
1574753753000,,,,,,0.02,,,0.04,,,,,,,,,,,,,,,,,
1574829912000,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
1574906610000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1575059347000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1575288653000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1575673602000,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
1575749392000,,,,,,,,,0.04,,,,,,,,,,,,,,,,,
1575979374000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1576288118000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1576372313000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1576713534000,,,,,,,,,0.04,,,,,,,,0.05,,,,,,,,,
1578658814000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1579055596000,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
1579122050000,,,,,,,,,0.04,0.06,,,,,,,,,,,,,,,,
1579386588000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1579584998000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1580049245000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1580380051000,,,,,,,,0.02,,,,,,,,,,,,,,,,,,
1580446477000,,,,,,0.05,,,0.04,,,,,,,,,,,,,,,,,
1580844182000,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
1580910496000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1581243665000,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1581574720000,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,
1581841298000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1581907086000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1581973926000,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1582106715000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1582306851000,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
1582439543000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1582638796000,,,,,,,,,0.04,,,,,,,,,,,,0.04,,,,,0.00
1582705647000,,,,,,,,,0.03,,,,,,,,,,,,0.03,,,,,
1582904573000,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
1582970808000,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1583235956000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1583368317000,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,
1583502285000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1584168330000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1584300469000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1586169028000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1586301955000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1587099968000,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
1588237076000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588371539000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588906152000,0.01,1.09,,,,,,,,,,,,,,,,,,,,,,,,
1588972800000,,,,0.73,,,,,,,,,,,,,,,,,,,,1.70,,
1589040204000,,,,,,,,,,,,,,,,,,,0.37,,,0.03,,,,
1589107927000,,,,,,,,,,,,,,,,,0.57,,,,,,0.52,,,
1589174391000,,,0.84,,,,,,,,,,,,,,,,,,,,,,,
1589442351000,0.03,,,,,,,,,,,,,,,,1.17,,,,,,,,,
1589509055000,,,,,,,0.15,,,,,0.67,2.00,,,,0.95,,,,,,,,,
1589644333000,,,,,,,,,,,,,,0.23,,,,,,,,,,,,
