timestamp,​0xA24F2E6dCbD2Da9A220958401dAB74B365bD34E1,​0x6C3942B383bc3d0efd3F36eFa1CBE7C8E12C8A2B,​0xF20Fe58d8787c285416f8793f1ABC9Cb9354a558,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0xD1a06725e9fee446b4a49cEE85c9C213cC13F39A,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x8cE6e1A223B329A76e8b5e696EDc562AABb349E1,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x1F0147Bc4019C5ADD7ECb7267bAaC9d85d2470e9,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x2c6b36530c0f25FA2765e2901101b4FCF149DEC4,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x5E810c7f0065f6295aDAbF3203922f77B14EE099,​0xF9e840Ae653484ee1AE1463077E7A888bcDFCfd2,​0x210671bed37D221cDE1EAaacCf6fe4F843Ce1BC4,​0x4A6937aCbbdf30FC3Fb94225D3A01e8b28EA581e,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x003c52A71c887461087154EcCCed08cb1C5384A5,​0x550510d73cDD9A2cd97B1c2f9E47848A12da1eAf,​0xD3e9D60e4E4De615124D5239219F32946d10151D,​0xDe12c9510F0677EB51520546003b1e07C614FD67,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x00000000000080C886232E9b7EBBFb942B5987AA,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0xd90668e94ea31538408A5874dB5Ccc41CF4cC54B,​0x21d03936c6eB660453261ECe4c211B17611fF241,​0xBaD8429F711e92A96b9a9B82aa148ffd1C4df24C,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x368A2D5CD67bB2c4C742d9482aa09f3126AA0F52,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x368F6Fad75EEc78B3c6a5583c0B26A755c058108,​0x97deC872013f6B5fB443861090ad931542878126,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,Other
1565106699000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,0.16,,,,
1565173880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,0.19,,,,
1565241308000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,
1565308246000,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,0.47,,,0.19,,,,,0.18,,0.16,,,,
1565375748000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,
1565441736000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.21,,,,
1565509207000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,
1565576260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,0.05,,,,
1565643196000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,
1565710691000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,
1565776959000,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.04,,,,
1565843533000,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,0.16,,,,,,,,,,0.87,,,,
1565911450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,0.21,,,,
1565978340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.23,,,,0.06
1566044959000,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
1566113085000,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,0.20,,,,
1566179461000,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,
1566246801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,0.11,,,,
1566314677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,
1566381517000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,
1566448943000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,0.38,,,,
1566516026000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,0.01,,,,
1566583035000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.13,,,,
1566649948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,
1566717936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.11,,,,
1566784085000,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,2.06,,,0.48,,,,,0.48,,1.95,,,,
1566851133000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,
1566920101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.16,,,,
1566986635000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,
1567054177000,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,0.56,,,,
1567120257000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.21,,,,
1567187642000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,0.11,,,,
1567255013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,
1567321929000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.03,,,,
1567389294000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,
1567457291000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,
1567524520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.11,,,,
1567591445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,
1567658685000,,,,,,,,,,,,,,,,,,0.21,,,,,,,6.12,,,,0.11,,,,,,,,,,0.09,,,,
1567726271000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,
1567794373000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,0.14,,,,
1567860872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.23,,,,
1567928417000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,
1567996252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1568063465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,
1568130759000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,
1568198340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,
1568266003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,
1568332434000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,
1568400865000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,
1568535532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,
1568603177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,
1568669970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,
1568737700000,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,
1568803850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,
1568871705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,0.28,,,,
1568939678000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,
1569006694000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,
1569074199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.03,,,,
1569142150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,
1569209597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,
1569276280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,
1569344903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,
1569412741000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,1.40,,,,
1569548219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,0.74,,,,
1569615424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,0.02
1569683184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,0.16,,,,
1569751196000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,0.06,,,,
1569817983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,
1569885879000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,0.04,,,,
1569953471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,0.41,,,,
1570088581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,
1570156245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.38,,,,
1570223512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,0.06,,,,
1570290984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,
1570358020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.05,,,,
1570424401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.25,,,,
1570492273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,
1570560314000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,0.11,,,,
1570628456000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,0.13,,,,
1570696365000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,
1570764407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,0.23,,,,
1570832121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,0.64,,,,
1570900657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,
1570967603000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.19,,,,
1571036079000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.09,,,,
1571103316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,
1571171084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
1571239896000,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.48,,,,0.41,,,,,,,,,,0.48,,,,
1571307873000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,
1571376291000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,
1571444011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.32,,,,
1571579975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,
1571648150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,
1571716619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,0.12,,,,
1571783991000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,
1571851268000,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0.19,,,,,,,,,,0.86,,,,0.03
1571920923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,
1571990353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.02,,,,
1572060724000,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,1.40,,,,,,,,,,0.20,,,,
1572129485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,
1572198558000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.71,,,,,,,,,,0.16,,,,0.25
1572267917000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,0.22,,,,
1572337649000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.08,,,,
1572406531000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,
1572476793000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,
1572546064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,0.09,,,,
1572615810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,
1572684939000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,0.09,,,,
1572754262000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,
1572822749000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,
1572893104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,0.05
1572962724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,0.12,,,,0.02
1573031855000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,
1573101222000,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573171451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,
1573240765000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,
1573311556000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,
1573382543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,
1573455245000,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01
1573527153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,
1573598526000,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,
1573670409000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,
1573742983000,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.84,,,,
1573814675000,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.18,,,,
1573886613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,0.31
1573958177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,
1574030120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,0.03
1574102523000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,
1574175364000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,
1574248216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.09,,,,
1574319702000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,
1574390894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,0.75,,,,
1574463158000,0.46,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1.64,,,0.52,,0.70,,,0.52,,1.23,,,,0.10
1574534614000,,,,,,,,,0.12,,,,,0.01,,,,,,,,,,,,,,,0.42,,,,,,,,,,0.27,,,,
1574606767000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,0.25,,,,
1574677937000,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,0.26,,,,,,,,,,0.57,,,,
1574753753000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,0.16,,,,
1574829912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,0.26,,,,
1574906610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,,,,,,,,,,0.19,,,,
1574982967000,,,,0.09,,,,,,,,,,0.09,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.26,,,,0.12
1575059347000,,,,,,,,,,,,,,0.13,,,,,0.04,,,,,,,,0.02,,1.41,,,,0.13,,,,,,1.01,,,,0.02
1575136068000,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.15,,,,0.10
1575212493000,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.69,,,,,,,,,,0.72,,,,
1575288653000,,,,,,,,,,,,,,,,,,,,,,,,0.51,1.15,,,,3.17,,,,,,,,,,3.73,,,,0.01
1575366165000,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,0.65,,,,,,,,,,0.27,,,,
1575442393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,0.00
1575519604000,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,0.37,,,,0.06
1575596839000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,0.07,,,,
1575673602000,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,0.03,,0.15,,,,0.03,,,,,,,,,,
1575749392000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
1575826602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.02
1575903384000,0.06,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.07,,,,
1575979374000,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,
1576056123000,0.62,,,0.17,,,,,0.32,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,0.36,,,,0.01
1576132843000,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,0.09,,,,0.08,,,,,,0.15,,,,
1576208669000,0.04,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,0.08,,,,,,,,,,0.02
1576288118000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.15,,,,,,,,,,
1576372313000,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.00,,,,,,0.27,,,,
1576456679000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,0.12,,,,,,0.23,,,,
1576541361000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.55,,,,0.04
1576627001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,
1576713534000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,1.30,,,,,,,,,,0.55,,,,
1576799699000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,0.09,,,,,,0.76,,,,
1576886273000,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,
1577057861000,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,0.10,,,,
1577143907000,0.28,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,0.10,,,,0.06,,,,,,0.57,,,,
1577229621000,0.02,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,0.07,,,,,,,,,,,,,,
1577315631000,0.17,,,0.09,,,,,,,,,,,,,,,,0.48,,,,0.28,,,,,0.10,,,,0.09,,,,,,0.36,,,,
1577402327000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,0.37,,,,
1577488582000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.10,,,,
1577573599000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,0.51,,,,,,,,,,,,,,0.28
1577659927000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,0.09,,,,0.00
1577746179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,0.13
1577832303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.16,,,,
1577918935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,0.02
1577997589000,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,0.15,,,,,,,,,,,,0.32,,,,
1578063677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,0.08,,,,,,,,,,
1578129566000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,
1578195701000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
1578261907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,0.03,,,,
1578327837000,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.21,,,,,,,,,,0.10,,,,0.00
