timestamp,​0xB2A320fF837629d3fB08f9f0B056822CF29496EE,​0xd0615037BBE05e45B75f26858D9CbA76E4D969B2,​0x70e6cE3ad8744E457E788c04F5E5EB1a626974Cc,​0x4d5838816e938aAD70e4859DD1FD899F5E6e6498,​0xc542b24e3130c3BC28aBA4f4d320A026113b7C5e,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0xED376BE0003D1C6626DD8C353b84697e315a821C,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x4952f5dDE00A0677365E42D33bCc5A8aBD4E2B43,​0xE27092A95f28A5bEdADa521375fbf13eb00e4F74,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0xA540fb50288cc31639305B1675c70763C334953b,​0xd7D4B894CEA1949B7485Dc04d1Bd2F637ffEC65D,​0xfa2aa643122bD2b17f1f6473973988BBC6e399B7,​0x7059010320d07a47d2Ad54db88bB89Ea644C3e6F,​0x3d1507891DD07Ea04cFabFe2E0853E359d0cbc3d,​0xB4468D4e7bCa669933c4A4dC6C268E8e43996c95,​0xff15BE7eB263f70fC9349C2f930e641686E154aD,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x46188f0bB4928E3d851Ec8E70CFEd58f17C7D2C8,​0x408EaFCA573E29629C2d7789D1Cd3AA388b00210,​0x2C9aA75080F97bC94728184Ed1F331e41259EFCC,​0x97deC872013f6B5fB443861090ad931542878126,​0xE01bBaeAB9c54DeF1eb2fbBE13db28F38f5345F6,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0xA77E1550CB41828daB40c9A3e2c4B0F12013405a,​0x2BA56A2415DEdAaeF2a54a1A6CC90d4555e0000d,​0xD524262feC411a64B019330bE56e9DD19dE63A9b,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0xa4efD976B96370f552787644f9f43cD50FFf9ccd,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x7b946969234ad637c56bf5D2459eF969981B1ca3,​0x6e68C9704Edfd8870378A9545794403F0302D270,​0x82D5CBe057F17BF58c728829C7AEd242Fe5B4623,​0x9c52dF223Ab7054544D1bd57e5d154F97Bf36656,​0xb7d0596e636dBEc773075372868b14d5a224C0Fd,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x661B6EF5717Cd3113009Fe875297f3e6F41f2bEd,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,Other
1576541361000,,,,,,,,,,,,,1.00,,,0.63,,,,,,,,,,,,,,,,0.21,,,,,,,,,,
1576713534000,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
1576799699000,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
1576886273000,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576971438000,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
1577143907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1577488582000,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,
1578327837000,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578526345000,,,,,,,,,,,,0.01,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,
1578592894000,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,
1578658814000,,,,,,,,,,,,0.32,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,
1578790822000,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579055596000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579188604000,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,
1579254375000,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579453251000,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579518909000,,,,,,,,,0.06,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579848954000,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,
1580180893000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1580313366000,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.10,,,,,,,,,
1580380051000,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,0.01
1580446477000,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580711822000,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1580778615000,,,,0.24,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.40,
1580977343000,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581043789000,,,,0.36,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,
1581110121000,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581243665000,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581375300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581441429000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1581508790000,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581574720000,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581707956000,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1581774043000,,,,0.27,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.02
1581973926000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
1582106715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1582173039000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1582372667000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582439543000,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,
1582505376000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02
1582571821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582638796000,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,
1582705647000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1582771019000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,
1582837876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1583036689000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1583567810000,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
1583633541000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,
1583699841000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,
1583767163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1583833348000,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,0.02
1583966404000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,
1584033400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,
1584100621000,,,,0.45,,,,,,,,,2.00,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,2.01,,
1584168330000,,,,0.44,,,,,,,,,,,,,,,0.80,,,,0.69,,,,,,,,,,,,,,,,,,,
1584234522000,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,0.33,,,,,1.11,,0.95,,,
1584367227000,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,
1584434720000,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,2.01,,0.08
1584632903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,
1584699859000,,,,,,,,,,,,,1.00,,,,,,,,,0.22,,,,,,,,,,,,,,,0.36,,,,,
1584970249000,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,0.04
1585036977000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,
1585105600000,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,0.01
1585504149000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
1585637238000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585836257000,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586236183000,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586301955000,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,
1586635021000,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
1586900049000,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,
1587033174000,,,,,20.01,,,,,,0.14,,5.59,,,,,,,,,,,,1.00,,,,,,,0.32,21.47,0.72,,,,,,,,0.20
1587099968000,,,10.75,,,8.44,,1.42,,,0.74,,50.54,,39.97,,8.37,2.79,,24.00,,,,,1.00,2.15,4.00,5.35,18.91,,0.66,3.82,25.37,,11.82,1.00,,38.55,,,,0.17
1587167698000,,,,,,0.05,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.29,,,,,,,0.47,,,,0.31
1587234387000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,
1587368133000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1587501138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
