timestamp,​0x5A9C414CAF48bd0492E56efdc73a8457e8C3B892,​0xbC132A4996777Ba309805C1c4d87c727afcD31aa,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x015737b20425D52e020Fb1b35E2e3D0EFA29E11E,​0x45EEd6EAf67279212b9eD01dc57f35A52F9D3542,​0x8f69c969296f70397ACa7211fce097B5983beEea,​0x5deE759699E83CBc165fa0bF12F80a9Ad11c6A00,​0x9a7A75E66B325a3BD46973B2b57c9b8d9D26a621,​0x66FD4A1A38B0B0Ce871e8489cb8Ec59444f6432a,​0xf27aD293FD6AB822df767ed5b02721fd1C1ecc48,​0x7e150140Dd91be6d1553b24ed13039d83990A90F,​0xa340c56A61B54a1BEF829b05Ceb10801D4461300,​0xaE76c84C9262Cdb9abc0C2c8888e62Db8E22A0bF,​0x66B3830FB343Dbd74cc3623495F801DfCb5585eA,​0xeF462dDA16066e5f61042972E96b882c18aAe3b5,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xCA24F7d1c2aAD4aE49fD72dD2B80a12d82D5EC1F,​0x9a076Edb637E85371e006D250426Ad2545721696,​0x29Bc8911647e22a2F7AD4A4eD1eCE946aCee8b71,​0xC9724026b6770122e11Adf0ba0f57930C748673a,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xDb5CA08633F7ce26f7e3B48C16eaF9F18788Ba0E,​0x101308c3ba07B0C4003a9EAe2e68B38B68dEA572,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xf8eF4D5D73a278bF1595b46C62451EdBfe94309F,​0x7D2b6223EEc1eBcb2Bfd5bF3a71Cc365A39F5145,Other
1578923015000,,,,,,,0.11,,0.02,,,,,,,,,,,,0.26,,,0.08,,,,,
1578989540000,,,,,,,,,,,,,,0.04,,,,,0.00,,0.04,,,,,,,,
1579055596000,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00
1579122050000,,,,,,,0.09,,0.01,0.00,0.05,,,,,,,,0.00,,,0.04,,,,,,,0.01
1579188604000,,,,,,,0.05,,0.05,,,0.02,,,,,,,,,0.03,,,,,,,,
1579254375000,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,0.25,,,,,,,,0.00,,,,,,,,0.00
1579386588000,,,,,,,,,,,,,,,,,,,,,0.12,,,0.01,,,,,
1579453251000,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
1579518909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579584998000,,,,,,,,,,,,,,,,,,,0.08,,0.00,,,,,,,,
1579650516000,,,,,0.00,,0.04,,,,,,,0.00,,,,,,,,,,,,,,,
1579783170000,,,,,,,0.04,,,,,,,,,,,,0.00,,0.01,,,,,,,,
1579848954000,,,,,,,,,,,,,,,,,,0.00,,,0.03,,,,,,,,0.00
1579915579000,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,
1579982233000,,,,,0.01,,0.04,,,,,,,,,,,,0.09,,0.04,,,,,,,,0.00
1580049245000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.00
1580114658000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580180893000,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,
1580247630000,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.00
1580313366000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,0.00
1580380051000,,,,,,,0.06,,,,,,,,,,,,,,,,,,0.04,,,,
1580512997000,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
