timestamp,​0xEff3DD6BD74eDA3BD9097CEBA1c3f35FC339533d,​0x868f4e359778E6c46fB4fa2630EE497A03Fe6C3E,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0x505C02B4aa1286375FBDF0c390AC0fe9209DCB05,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x270cd0b43f6fE2512A32597C7A05FB01eE6ec8E1,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x88dF13889E20EFa93Ff9a0C08f101F431bD9DDD7,​0x97deC872013f6B5fB443861090ad931542878126,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0x92110d207d646D5Ab266fBBfc800744314FC57ff,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x6bFa119a191576Ba26Bc5e711432aCA0cFda04DE,​0x2388C11d0532CE92A99d16D1980cc5980cF575C3,​0xB791c10824296881f91BDbC16367BbD9743fd99b,Other
1581574720000,,,,,0.74,,,,,,,,0.27,,,,,,,,,,
1581641265000,,,,,0.49,,0.46,,0.08,,,,,,,,,,,,,,
1581707956000,,,,,0.51,,,,0.10,,,,,,,,,,,,,,0.01
1581774043000,,,,,0.09,,,,0.10,,,,,,,,,,,,,,0.01
1581841298000,,,,,0.42,,0.24,,0.31,,,,0.12,,,,,,,,,,
1581907086000,,,,0.42,0.53,,,,0.45,,0.10,,,,,,,,,,,,
1581973926000,,,,,0.78,,0.32,,0.23,,,,,,,,,0.15,,,,,
1582040665000,,,,,0.57,,,,0.22,,,,,,,,,,,,,,
1582106715000,,,,,0.37,,,,0.20,,,,,,,,,,,,,,0.01
1582173039000,,,,,0.08,,0.25,,0.37,,,,,,,,,,,,,,
1582240159000,,,,,0.42,,0.16,,0.20,,,,0.10,,,,,,,,,,
1582306851000,,,,,0.26,,0.09,,,,,,,,,,,,,,,,
1582372667000,,,,,,,,,0.18,,,,,,,,,,,,,,
1582439543000,,,,,0.34,,,,,,,,,,,,,,,,,,
1582505376000,,,,,0.18,,,,,,,,,,,,,,,,,,
1582571821000,,,,,0.11,,0.07,,0.27,,,,,,,,,0.12,,,,,
1582638796000,,,,,,,,,,,,,,,,,,0.09,,,,,
1582705647000,,,,,,,,,,,,,,,,,,0.67,,,,,
1582771019000,,,,,0.28,,,,,,,,0.08,,,,,1.06,,,,,0.01
1582837876000,,,,,0.81,,,,,,,,0.08,,,,,0.12,,,,,
1582904573000,,,,,0.41,,,,,,,,0.28,,,,,0.23,,,,0.34,
1582970808000,,,,,0.39,,,,,,,,0.20,,,,,,,,,,
1583036689000,,,,,0.08,,,,,,,,,,,,,,,,,0.25,
1583103301000,,,,,0.09,,,,,,,,0.09,,,,,0.23,,,,,
1583168974000,,,,,0.49,,,,,,,,,,,,,,,,,,
1583235956000,,,,,0.10,,,,0.08,,,,,,,,,0.07,,,,,
1583302077000,,,,,0.08,,,,0.12,,,,0.10,,,,,,,,,,
1583368317000,,,,,0.10,,,,,,,,0.12,,,,,,,,,,0.01
1583435384000,,,,,0.30,,,,,,,,,,,,,,,,,,
1583502285000,,,,,0.30,,,,,,,,0.09,,,,,,,,,,0.01
1583567810000,,,,,0.21,,,,,,,,,,,,,,,,,,
1583633541000,,,,,0.11,,,,,,,,0.15,,,,,0.33,,,,,
1583699841000,,,,,0.25,,,,,,,,0.83,,,,,0.17,,,,,
1583767163000,,,,,0.49,,,,0.19,,,,0.53,0.43,,,,0.37,,,,,
1583833348000,,,,,0.42,,,,,,,,0.12,,,,,0.40,,,,,
1583900197000,,,,,0.23,,,,,,,,,,,,,0.10,,,,,
1583966404000,,,,,0.19,,,,,,,,0.19,,,,,0.54,,,,,
1584033400000,,,,,0.08,,,,,,,,0.11,,,,,3.37,,,,,
1584100621000,,,,,0.36,,,,,,,,0.41,,,,,0.54,,0.28,,,
1584168330000,,,0.56,,2.64,,,,,0.29,,,1.88,,,,,0.34,0.27,,,,
1584234522000,,,,,,,,,,,,,,,,,,0.43,,,,,
1584699859000,,,,,2.40,,,,,,,,0.75,,,,,,,,,,
1584766483000,,,,,1.99,,,,,,,,2.84,,,,,0.16,,,,0.21,
1584833664000,,,,,0.87,,,,,,,,0.66,,,,,0.16,,,,,
1584902413000,,,,,0.28,,,,,,,,0.80,,,,,0.08,,,,,
1584970249000,,,,,0.58,,,,,,,,0.09,,,,,0.08,,,,,0.01
