timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x0149332917032E12b44f188f102Af4DEe995AeB0,​0x1fa02E36cb086f2A89ADBa718C65DB7085d16756,​0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,​0xea0f9E03138efCC7c98adBC4E698d0C158f99a0b,​0x9FEBdB70d953275A80231294A0e9f488AcF043eB,​0x2bbb52927C31a50934af437D1ED7325Ea26dE4Fc,​0xa5F94aC4202315d2186afc725fF380F283A06080,​0xC6a82e72156A11a2E1634633aF5E4517B451f0D9,​0x58e11792D0637540ab1f430E4659693659Ea2734,​0x6b5E8a38DEBb1C02E9fe852c2986D78b52877EAb,​0xB65fdA9A2c7B3E9C52B5D29938a2b0Ec866A3510,​0x7Ee567D2AC5dca4c422281Deb1e2334a805BA6C1,​0x4677C06757a2059c7b750fd5b59c2E65Bf1851B3,​0x6B58Bb15A0a05636bcede0b8B40F13a8a2cB938C,​0x0E26D3d76a8c2ff2978859915519041eFd124Ab1,​0x56aFFa87c32a40401dffA6B3822651D5F01216B6,​0x593F3871cB8b5C886f68e69eFe3c74d28103afE2,​0xc215EbFE68C15FCAFCb848105eF5f5B1158313CB,​0x781b6EecE2E7ba81cc8782956FfB7C286107cDE9,​0x9ca72d50650a0254238f4F0AfAA8f05F18BEB632,​0xfDCfc1188005779Ad1c70a0560Fd5bBADafFEbf5,​0xB6b91942b2852e11963b1F6f1A3D03c59D1DE8d4,​0xD0be2821cd565afAd204cA058b61bB3829b786A0,​0x0E71F7a6bBAE357A1Cd364173aE69D3fb2e539e3,​0xBB63758fbbaE0D96b2da118972838d286Bf456b0,​0x2c1E7Dd4b1c13b042C8B3262067A307706e60B91,​0x97deC872013f6B5fB443861090ad931542878126,Other
1596807570000,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597472334000,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,
1597539439000,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,
1597606146000,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,
1598271030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,
1598668615000,,,,,,0.65,,,,,,,0.17,,,,,,,,,,,,,0.30,,1.42,
1598801522000,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,
1598867833000,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,
1598932763000,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,
1599131830000,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,
1599330041000,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,
1599528172000,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,
1599793183000,,,,,,,0.29,,,,,,,,,,,,,,,0.55,,,,,,,
1600389220000,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,
1600589122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,
1600654235000,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,
1600719844000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,
1600920149000,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,
1600986137000,,,,0.29,,,,,,0.76,,,,,,,,1.33,,,,,,,,,,,
1601660827000,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
1601931072000,,,,,0.16,,,,,,,,,,,,0.14,,,,,,,,,,,,
1602133843000,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,
1602337276000,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,
1602403481000,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,
1602469107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,
1602931980000,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,
1603130753000,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,0.13,,
1603395740000,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,
1603661160000,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,
1604721624000,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,
