timestamp,​0x445E5f797fd7a939F9B4a593b7aD5BB79Ee046c8,​0x95C97578Dd721699940FBd218eB5851bf5E4B448,​0xBFeeE68c40e7Ffffa00Bf6b12739E85E1d5Db8D3,​0x5437E2Cf87378f7134E5fBbE6c1B9B6F4A9DcA9c,​0xD90F7Fa722467c3503542DD840C328ccC055B5E2,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,​0x90c5B6392804B2B7257AA195B86a58d9C254D946,​0x7E2108dE992A57A12A699840117e376a302Ea12C,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0xD5Dfe862Ded2EcFa1E7831476F9DD7d4080bdfB5,​0x85F18C533900A4eE0e3e378aD27DcB395bc7cb3d,​0x34A2fCE349311114317353ab4B798fa11cCfef57,​0x6097834F6f9170C5ab87e978FC42aC0fbaF42d3F,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x7a5C6166B13fFD6A9e49e9C31Ab6c172b8aC96C5,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0x0AB359f10E9c8be86663bC83aC772Ecf9473c42C,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x3591d261dA9Ca19D83DE5028D4Caa02f22aaf9Ee,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xc6E1DffF01ECfC22A0a79d366f80f0338645F50C,​0x1164236009849Feec5F941f6F652ee6928Bdc7bb,​0x97deC872013f6B5fB443861090ad931542878126,​0x916db62e2EB326Fb0D30c7a610EF189b5b083e86,​0x622961e7F76b5E573df44AFdeB712749BbeE398D,​0xc7b3601CD694cd40333b791DAD0a4F10C4Cf0Bf5,Other
1588506516000,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,
1588572377000,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,0.01,,,,
1588638430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588771981000,,,,,,,,,,,0.22,,,,,,,,,,,,,0.09,,,,,,,
1588839881000,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,
1588972800000,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1589040204000,,,,,,,,,,,,,0.10,,,,,0.04,,,,,,0.04,,,,,,,0.01
1589174391000,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,
1589308656000,,,,,,,,,,,0.37,,,,,,,,,,,0.42,,,,,,,,,
1589711000000,,,,,,,,,,,0.32,,,0.08,,,,,,,,0.15,,,,,,,,,
1589778055000,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,0.49,,,
1589845567000,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589913105000,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.19,,,,
1589980117000,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,
1590047677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1590248502000,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
1590316431000,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,0.34,0.37,,,
1590451139000,,0.40,,,,,,,,,,,,,,,,,,,0.05,,,0.25,,,,,0.10,,
1590584981000,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,
1590786531000,,,,,,,,,,,0.52,,,,,,,,,,,,,,0.23,,,,,,
1591189759000,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,
1591323776000,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591524138000,,,,,,,,0.09,,,,,,,,,,,,,,,,0.09,,,,,,,
1591590964000,,,,,,,,,,,,,,,,,0.35,,,,,0.55,,,,,,,,,
1591725334000,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,
1591793059000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
