timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xbD2a43799B83d9d0ff56B85d4c140bcE3d1d1c6c,​0x000000000000deab340F067535869a0e5226E58a,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x9697E724610505474936ec1382Edceb5AA52F295,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0xA540fb50288cc31639305B1675c70763C334953b,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x6d5fe1342745230063BE26117Abb4612d9876Ba5,​0x26Cc0EAb6Cb650B0Db4D0d0dA8cB5BF69F4ad692,​0xE8bEA818de87dD3E5cE9547120936c822b5B9502,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x0000000000eBbDaF01e3dE2506CA1e4C08D3ceBa,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0xd84b23B54954AA1FC77173d7289cC333d4c6fF81,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x498aA5830da490C85Dc4d92B410aAB86edB26c17,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x23033a055b4C3ba7B8398922f2f5bEAe85dcd099,​0xB67273B75Fcdb7a13F33306f6eC5125b23d67816,​0x00e541A6E7D9AB69E9343c9BA357D5f6e367dFc2,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0x1f50cC72Ba3C129FA0d56A7F4dDaa532Cb6a0c23,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x9BC66deb421FAf05041eE69f8dB194F6a34bdC37,​0x000000000000006F6502B7F2bbaC8C30A3f67E9a,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xBAd87c55083606832a2629Fb395c752093Bd9eF7,Other
1576627001000,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,0.04
1576713534000,,,,,,,,,,,,0.95,,,,,,,0.45,,,,,,,,,,,,,,,,,,1.61,,,,,
1576799699000,,,,,,,,,,,,0.92,,,,,,,2.05,,,,,,,,,,,,,0.55,,,,,,,,,,
1576886273000,,,,,,,,,,,,0.49,1.76,,,,,,2.46,,,,,,,,,,,,,0.65,,,,,,,,,,
1576971438000,,,,,,,,,,,,1.26,,,,,,,1.25,,,,,,,,,,,,,,,,,0.42,0.02,,,,,
1577057861000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.60,,,,,
1577143907000,,,,,,,,,,,,0.29,,,,,,,0.35,,,,,,,,,,,,,0.33,,,,,,,,,,
1577229621000,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.38,,,,,,,,,,
1577315631000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,
1577402327000,,,,,,,,,,,,0.67,,,,,,,0.70,,,,,,,,,,,,,0.33,,,,0.34,,,,,,
1577488582000,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,
1577659927000,,,,,,,,,,,,2.12,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,
1577746179000,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577832303000,,,,,,2.54,,,,,,1.08,,,,,,,,,,3.68,,,,,,,,,,,,,,0.37,,,,,,
1577918935000,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578063677000,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1578129566000,,,,,,,,,,,,0.79,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,
1578195701000,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578261907000,,,,,,,,,,,,1.39,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,
1578327837000,0.17,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578393679000,,,,,,,,,,,,0.82,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,
1578459841000,0.17,,,,,,1.66,,,,,2.75,,,,,,,2.00,,,,,,,,,,,,,0.48,,,,2.81,,,,,,
1578526345000,,,,,,,,,,,,,,,,,,,0.70,,,,,,,,,,,,,,,,,0.33,,,,,,
1578592894000,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,0.34,,,,,,
1578658814000,,,,,,,,,,,,0.21,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,
1578724741000,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578790822000,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,0.08
1578857025000,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,
1578923015000,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
1578989540000,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579055596000,,,,,,,,,,,,2.27,,,,,,,0.95,,,,,,,,,,,,,0.86,,,,2.18,,,,,,
1579122050000,0.41,,,,,,,,,,,2.05,,,,,,,0.45,,,,,,,,,,,,,0.39,,,,0.45,,,,,,
1579188604000,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,
1579254375000,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,2.42,,,,,,,,,,,,,,0.09
1579320115000,,,,,,,,,,,,0.93,,,,,,,0.75,,,,,,,,,1.81,,,,,,,,0.50,,,,,,0.02
1579386588000,,,,,,,,,,,,0.55,,,,,,,0.45,,,,,,,,,0.61,,,,0.73,,,,0.73,,,,,,
1579453251000,,,,,,,,,,,,0.24,,,,,,,0.35,,,,,,,,,2.61,,,,0.40,,,,,,,,,,
1579518909000,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1579584998000,,,,,,,,,,,,0.73,,,,,,,0.35,,,,,,,,,,,,,,,,,0.42,,,,,,0.03
1579650516000,,,,,,,,,,,,,,,,,,,1.10,,,,2.43,,,,,1.61,,,,,,,,0.77,,,,,,
1579717286000,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,1.00,,,,,,,,,,,,,,
1579848954000,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,2.21,,,,,,,,,,,,,,
1579915579000,,,,,,,,,,,,,,,,,,,0.35,,,,0.17,,,,,1.01,,,,,,,,,,,,,,0.09
1579982233000,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,
1580049245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,
1580114658000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,
1580180893000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,
1580247630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,0.64,,,,,0.06
1580313366000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,0.75,,0.87,,,,,0.01
1580380051000,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,0.81,,,,,,,,,,,,,,
1580446477000,,,,,,,,,,,,,,,,,,,0.85,,,,0.97,,,,,0.20,,,,,,,,1.03,,,,,,
1580512997000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,0.08
1580579921000,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,0.40,,,,,,,,,,,,,,
1580645575000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,
1580711822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,0.66,,,,,,
1580778615000,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,
1580844182000,,,,,,,,,,,,,,,,,,,1.20,,,,,,,,,0.41,,,,,,,,,,,,,,
1580910496000,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,0.82,,,,,,,,,,,,,,
1580977343000,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,0.75,,,,,,
1581043789000,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,0.44,,,,,,,,,,
1581110121000,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,
1581177428000,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,1.00,,,,,,,,0.38,,,,,,0.08
1581243665000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,0.33,,,,,,0.11
1581310184000,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,1.20,,,,,,,,0.39,,,,,,
1581375300000,,,,,,,,,,,,,,,,,0.33,,0.80,,,,,,,,,,,,,,,,,0.42,,,,,,
1581441429000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,
1581508790000,,,,,,,,,,,,,,,,,1.86,,1.86,,,,,,,,,3.03,,,,0.55,,,,0.82,0.80,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,4.44,,,,1.27,,,,,0.09,,,,,
1581641265000,,,,,,,,1.27,0.47,,,,,,,0.47,,,1.41,,,,,,,,,6.83,,,,0.53,,,,0.62,,,,,,
1581707956000,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,0.40,,,,,,,,0.56,,,,,,
1581774043000,0.02,,,,,,,,,,,,,,,,,,1.10,,,,,,,,,1.00,,,,0.90,,,,,,,,,,0.07
1581841298000,0.31,,,0.65,,,,,,,,,,,,,0.16,,1.15,,,,,,,,,1.82,,,,,,,,0.74,,,,,,
1581907086000,,,,1.30,,,,,,,,,,,,,,,2.70,,,,,,,,,3.81,,,,0.76,,,,0.81,1.02,,,,,
1581973926000,,,,0.44,,,,,,,,,,,,,,,1.25,,,,,,,,,2.65,,,,,,,,1.10,,,,,,
1582040665000,,,,,,,,,,,,,,,,,,,1.20,,,,,,,,,0.40,,,,,,,,0.39,,,,,,0.22
1582173039000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1582240159000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1582439543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
1582638796000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,
1582705647000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
1583435384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1583502285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1583633541000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
1583699841000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1583833348000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583900197000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
1583966404000,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584168330000,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
1584234522000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.06
1584300469000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1584434720000,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1584632903000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.78,0.04,,0.86,,,
1584699859000,0.79,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,,,2.43,,,
1584766483000,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,
1584833664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,0.14,,,
1584970249000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1585036977000,,,,,,,,,,,,,,,,,,,0.05,,,,0.20,,,,,,,,,,,,,,,,,,,
1585306138000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,1.10,,1.13,,,,
1585372283000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1585637238000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.10
1585770840000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.04,,,,,
1585836257000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.04,,,,,
1585903293000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1586236183000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1586501245000,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,0.11,,,,,,0.20
1586833705000,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,0.20,,0.04,,,,,,,,,,,,
1587099968000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1587167698000,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,
1587300847000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1587368133000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
1587501138000,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587568237000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.06
1587634602000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
1587768625000,,,,,,,,,,,,,,0.10,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,
1588036978000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.06,,0.05
1588170340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.03
1588237076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588305064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,0.11,,,0.07,,
1588371539000,,,,,,,,,,,,,,0.10,,,,,,,,,,,,0.13,,,,0.06,,,,,,,0.07,,,,,
1588438821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.02,,,
1588506516000,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,3.00,,,,,,,,,,,,,
1588572377000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,2.55,,,,,,,,,,,0.08,,
1588638430000,,,,1.02,,,,,,0.96,,,,,,,,,,,,,,,,,,1.52,3.40,,,,,,,,,,,0.08,,
1588705743000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.00
1588771981000,,,,1.54,,,,,,,,,,,,,,2.50,,,,,,,0.94,,,,,,,,,,,,,,,,,
1588839881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.45,,,,,,,,,,,0.19,,
1588906152000,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,0.92,,1.00,,,,0.08,,,0.13,,
1588972800000,,,,,0.08,,,,,,,,,,1.01,,,,,,,,,,,,,0.48,,0.08,0.25,,,,,,,,,0.48,,
1589040204000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1589107927000,,,,,0.31,,,,,,0.54,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,2.23,0.06
1589174391000,,,,,,,,,,2.58,,,,,,,,,,,,,,,0.09,,2.50,,0.05,,,,,,,,,,0.03,,,0.08
1589241093000,,,,0.43,0.13,,,,,10.05,2.80,,,,,,,6.41,,,,,,,2.76,,,,12.63,0.09,,,,,,,,,,3.96,,
1589308656000,,,,,,,,,,0.55,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,0.03,,,
1589375621000,,,,,0.16,,,,,,0.86,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,
1589442351000,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,0.06,,,,,,,,,,,,,0.12
1589509055000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
1589644333000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,0.25
1589711000000,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20
1589778055000,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.04
1589845567000,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,0.15,,,,,,,,,,,,,
1589913105000,0.23,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.13,,
1589980117000,,,,,0.12,,,,,1.09,,,,,,,,,,,,,,,1.16,,,,0.12,,,,,,,,,,,,,
1590047677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1590113970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,
1590181994000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
1590316431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,
1590517845000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
1590652494000,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590719602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,
1590786531000,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,0.59,,,,,,0.42,,0.04
1590853669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12
1590987649000,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,
1591189759000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1591590964000,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.25
1591993124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,0.14
1592060020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1592126059000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1592794125000,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,0.06,,0.06
1593128647000,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,
1593531858000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1594000010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1594199176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,
1594334149000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12
1594534363000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1594734577000,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,
1594801444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
1594868516000,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,0.07,,
1595068938000,,,0.62,,,,,,,0.29,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,
1595202619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
