timestamp,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2Bf5A5bA29E60682fC56B2Fcf9cE07Bef4F6196f,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0xE0aBA8291C1A83B2310d2D3036eA64f907CC7eA3,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x1aEC8F11A7E78dC22477e91Ed924Fab46e3A88Fd,​0x168aA9692DFA9a33da9d27fec99df3E7E29D8a8B,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x9697E724610505474936ec1382Edceb5AA52F295,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0xEdC485266AA0Ebe9CCbfc1f255BB5FFEA1f9e3cc,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x5FfB004C2a93D6E46C09f75d1565350F92f65C89,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0x97deC872013f6B5fB443861090ad931542878126,​0x772990840BE9fFfca9e2e6a2A05b73a238E166C7,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xfAC4E68a7781d6461FCd3Dfa53521C048E624a23,​0xC0D6D359b05C60451b02fc87be3F5d808fa89692,Other
1582571821000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582771019000,,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1582837876000,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1582904573000,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582970808000,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1583235956000,,0.05,,,,,0.05,,,,,,,,,0.21,,,,,,,,,,,,,0.21
1583302077000,,0.05,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,0.04
1583368317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583502285000,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1583567810000,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,0.11
1583633541000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1583767163000,,,,,,,,,,,,,,,,0.05,,,,,0.01,,,,,,,,
1583833348000,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,
1583900197000,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.05
1584168330000,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
1584234522000,,,,,,,0.05,,,,,,,,,0.04,,,,,,,,,,,,,
1584500082000,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
1584632903000,,0.07,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
1584970249000,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1585036977000,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
1585105600000,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
1585306138000,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,
1585836257000,,0.08,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,
1586102872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1586236183000,,,,,,,0.05,,,,,,,,,0.01,,,,,,,,,,,,,
1586368858000,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,0.00
1586635021000,,,,,,,0.10,,,,,,,,,,,0.09,,,,,,,,,,,
1586701369000,,,,,,,0.55,0.13,,,,,,,,,,0.06,,,,,,,,,,,
1586767741000,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1586900049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1586966921000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1587099968000,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587234387000,,,,,,,,0.14,,,,,,,,,,,,,,,,,0.15,,,,
1587368133000,,,,,,,,,,,,,,,,,,,,0.26,,,,,0.30,,,,
1587434258000,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1587501138000,,,,0.26,,,,,,,,,,,,,,0.26,,,,,,,,,,,
1587568237000,,,,,,,,0.21,,,,,,,,,,,,,,,,,0.40,,,,0.17
1587701744000,,,,,,,,,,,,,,,,,,0.10,,,,,,,0.10,,,,
1587836062000,,,,,,,,,,,,,,,,,,0.11,,,,,,,0.10,,,,
1587969951000,,0.42,,,,,0.10,,,,,,,,,,,,,,,,,,0.03,,,,
1588036978000,,,,,,,0.10,,,,,,,,,,0.05,0.21,,,,,,,,,,,
1588104246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,
1588305064000,,,,,,,,,,,,,,0.02,,,,,,0.41,,,,,0.49,,,,0.02
1588371539000,,,,,,,0.05,,,,,,,0.59,,,0.04,0.09,,0.46,,,,,0.20,,,,
1588438821000,,,,,,,,,,,,,,0.01,,,0.00,,,,,,,,,,,,0.04
1588506516000,,,,,,,0.25,,,,,,,,,,0.18,0.12,,,,,,,,,,,
1588572377000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1588638430000,,0.06,,,,,,,,,,,,0.11,,,,0.37,,,,,,,0.28,,,,0.13
1588705743000,,,,,,,,,,,,,0.16,0.07,,,0.01,0.15,,,,,,,,,,,0.07
1588771981000,,,,0.52,,,0.05,0.17,,,,0.93,0.20,0.40,0.93,,0.06,0.05,,,,,,,,,,,0.21
1588839881000,,0.10,,,,,,,,,,1.15,,0.10,,,0.03,0.19,,1.35,,,,,2.68,,,,0.05
1588906152000,0.19,,,1.38,,,,0.13,,,,0.13,0.25,0.08,,,2.60,3.72,,2.28,,,,,0.30,0.23,,1.12,
1588972800000,0.32,,,,,,,,,4.33,,,,,,,0.57,2.45,,1.67,,,,,0.52,,,,0.22
1589040204000,,,,,,,,0.18,,,,,0.19,,,,9.77,5.16,,3.26,0.42,,,,0.55,0.38,,0.91,0.24
1589107927000,,,,,,,,,,,,0.43,0.04,0.84,0.05,,2.59,2.81,,,,,,,0.10,,,,0.00
1589174391000,,,,,,,,,,,,,,,,,0.37,0.50,,,,,,,0.20,,,,0.22
1589241093000,0.16,,,,,,,,,,,,0.16,,,,4.46,3.06,0.15,0.62,,,,0.44,,,,,
1589308656000,0.63,,,,,,,,,,,,,,,,0.82,0.56,,,,,,,0.60,,,,0.58
1589375621000,0.20,,,,,,,,,,,,0.18,1.04,0.03,,2.58,3.09,,,1.42,,,,,,,,
1589442351000,,,,,,,,,,,,,0.09,,,,0.49,0.15,,,,,,,0.04,,,,0.14
1589509055000,,,,,,,0.65,,,,,,,,,,0.67,0.50,,,0.48,,,,0.08,,0.68,,0.05
1589576701000,3.11,,,3.78,,,1.00,,,,,1.29,0.61,1.64,,,24.42,17.99,0.51,0.95,,,,0.50,2.07,,,,0.78
1589644333000,,,1.38,,0.83,0.74,6.92,50.15,0.83,1.06,8.57,4.80,0.29,,,,10.96,136.44,,,,193.66,,,0.54,,,,0.09
1589711000000,,,,,,,,,,,,,0.12,0.08,,,0.36,0.17,,,,,,,,,,,0.17
1589778055000,,,,,,,,,,,,0.22,,0.54,,,3.31,2.73,,,,,,,,,,,
1589845567000,,,,,,,,,0.30,0.13,,,0.13,0.49,0.12,,,1.24,,,,,0.70,,0.83,,,,0.20
1589913105000,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,0.07
