timestamp,​0x47Ec4F79AdF7E7C545D3dd94cC92d36EDf363B2f,​0x2A23527A6dBAfAE390514686D50F47747D01E44d,​0x1B40b0e16707170f5df69EBb753EB1a2b15966B9,​0x4b9104679469c8096064bB1c61CecD174bF9Dd81,​0x68a56B7Dd985AF5d00902dF409B683a495d9F72c,​0xc4D0EE5b642D3B429C58CC4D10BDCd92312ac180,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x80a608fA44381d589fAC3e1998ac4eb6BBdD88CD,​0xE5bf45c98B86e7d51c6173fC2CbbbED70998c3Ff,​0xAfd9034Aba776D09C52b573c0b8bEcfd2b22FB5a,​0xFa21B495Ce05CD828112412FceD21C6d622b24ea,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0xb61da177F387D15F5b07446D811Aaf1fDF91F6fE,​0x569bb831526560Bd5cFe84f2CEeeE711Bf2bC2d1,​0x0b4f4A3cfC6E5BeB9F34E6f4fCB8e8D1d57A3689,​0x250E0B96eb70558bF054C0338B32eDf7780c834F,​0xAC7DC728699A3d82615f2b0F5e21C64D95D9FAC8,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xA32fA6D58CAC547886d417f15D803Fd1B6685245,​0xD674d9DBEa02B7457408Ed2Cd21051498ec8d13c,​0x8e0EDD852cA828543d0869b48D7e053204827C98,​0x76d599643b67626c7448925B598c5999eef4bDfA,​0xdbAd4eed989b33E9430B6a08fa64D90163a4E1FC,​0xdb217AF7edd23b5d21e5f95Ea3D9DE72C235f6bB,​0x3a7405aeA7827D8c0265cA8E2BDFa19A2cE758a2,​0x39C8cbf1B750565934e395975e345A6957299b0C,​0xBc306a88F17cb88DaDcBB80A60E8a93E9B74558c,​0x765F5D2c05cE18f3B77c91f796A1B42e5679935A,Other
1586833705000,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591524138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,
1591926628000,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1593933211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,
1596606713000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
1597472334000,,,,,,,0.04,,,,,,,0.06,,,,,0.04,,,,,,0.11,,,,,,
1597539439000,,,,,,,,,,,0.07,,,,,,,0.01,,,,,,,,,,,,,
1597606146000,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,
1597805915000,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,
1598005285000,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,
1598867833000,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
1599330041000,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,
1599528172000,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,
1601931072000,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,
1601998104000,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1602133843000,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602469107000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603329593000,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,0.14,,,,
1603462512000,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,
1603728251000,,,,,,,,,,,,,,,,,0.04,,,,,0.10,,,,,,,,,
1603793902000,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,
